Session_ID,Customer_ID,Visit_Date,Device_Type,Traffic_Source,Pages_Viewed,Session_Duration,Added_To_Cart,Purchased,Purchase_After_Cart
WEB00000103,C029483,2024-10-23,Android,Organic,5,3.7,1,0,0
WEB00000104,C026608,2024-12-02,Android,Direct,10,8.4,0,0,0
WEB00000105,C039689,2024-08-08,Android,Direct,5,6.4,0,0,0
WEB00000106,C002388,2024-07-15,Desktop,Paid Search,6,7.2,0,0,0
WEB00000107,C003529,2023-07-20,Android,Social,11,3.8,1,1,1
WEB00000108,C009572,2025-01-09,Android,Paid Search,3,6.5,0,0,0
WEB00000109,C048028,2023-07-05,Android,Organic,7,2.2,1,0,0
WEB00000110,C014269,2025-04-28,Android,,13,8.5,1,0,0
WEB00000111,C012093,2023-12-17,Desktop,Organic,9,6.2,0,1,0
WEB00000112,C005474,2025-11-02,Android,Referral,6,18.8,0,0,0
WEB00000113,C021871,2025-11-05,iOS,Direct,9,10.1,1,0,0
WEB00000114,C017012,2025-12-31,Android,Referral,6,2.4,0,0,0
WEB00000115,C032908,2024-08-28,iOS,Organic,5,1.2,0,0,0
WEB00000116,C044889,2025-12-22,Desktop,Organic,7,18.1,1,0,0
WEB00000117,C010687,2023-02-02,Desktop,Direct,6,7.5,0,0,0
WEB00000118,C005360,2024-03-27,iOS,Paid Search,8,4.8,1,0,0
WEB00000119,C010941,2024-07-18,Android,Organic,4,3.2,0,1,0
WEB00000120,C040909,2024-08-17,Desktop,Organic,5,8.3,0,0,0
WEB00000121,C037423,2023-01-16,Android,Social,7,7.2,1,0,0
WEB00000122,C028198,2025-05-05,iOS,Organic,7,5.3,0,0,0
WEB00000123,C042303,2025-10-24,iOS,Organic,7,2.1,0,1,0
WEB00000124,C030182,2024-11-21,Android,Organic,5,6.0,1,0,0
WEB00000125,C011547,2023-10-09,iOS,Social,4,7.8,1,0,0
WEB00000126,C016622,2023-06-17,Android,Direct,7,13.3,1,0,0
WEB00000127,C022140,2024-04-14,Tablet,Social,11,4.3,1,0,0
WEB00000128,C041395,2023-04-30,iOS,Paid Search,12,3.5,1,1,1
WEB00000129,C017815,2023-05-17,iOS,Direct,3,8.1,0,0,0
WEB00000130,C049457,2023-09-24,iOS,Organic,11,3.3,1,0,0
WEB00000131,C044271,2025-06-19,iOS,Organic,6,6.8,0,0,0
WEB00000132,C016750,2025-07-27,iOS,Organic,7,4.3,1,0,0
WEB00000133,C041422,2024-11-17,Desktop,Organic,9,4.3,0,0,0
WEB00000134,C035297,2025-07-30,Android,Paid Search,9,16.1,1,0,0
WEB00000135,C023577,2023-03-24,Android,Direct,6,5.2,0,0,0
WEB00000136,C007211,2024-07-17,iOS,Social,14,9.8,1,1,1
WEB00000137,C019985,2023-03-09,Android,Paid Search,4,2.9,0,0,0
WEB00000138,C002799,2023-12-18,Desktop,Direct,5,6.7,0,0,0
WEB00000139,C047481,2023-12-29,Android,Direct,5,3.1,1,0,0
WEB00000140,C016593,2023-06-09,Desktop,Direct,4,3.1,0,0,0
WEB00000141,C038054,2024-06-18,Desktop,Paid Search,10,15.2,1,0,0
WEB00000142,C041049,2025-07-01,Android,Paid Search,6,11.4,1,0,0
WEB00000143,C023221,2025-09-17,Desktop,Referral,5,1.9,1,0,0
WEB00000144,C015796,2023-03-10,Android,Direct,10,7.3,1,0,0
WEB00000145,C026903,2024-04-15,iOS,Direct,9,6.9,1,1,1
WEB00000146,C044503,2023-04-04,Desktop,Organic,4,10.2,0,1,0
WEB00000147,C031359,2023-02-23,iOS,Direct,8,6.5,0,0,0
WEB00000148,C039725,2025-08-16,Desktop,Paid Search,5,9.8,0,0,0
WEB00000149,C035510,2023-02-01,Tablet,Direct,4,5.5,1,0,0
WEB00000150,C010816,2024-03-16,Desktop,Organic,6,5.4,1,1,1
WEB00000151,C030121,2023-12-25,iOS,Paid Search,7,10.0,0,0,0
WEB00000152,C033944,2024-01-15,iOS,Organic,9,21.6,1,0,0
WEB00000153,C038509,2023-12-26,Android,Direct,9,17.2,0,1,0
WEB00000154,C046556,2023-07-02,iOS,Direct,10,4.1,0,0,0
WEB00000155,C010669,2023-09-03,Android,Organic,10,2.4,0,0,0
WEB00000156,C017332,2023-10-31,Android,Organic,7,9.7,1,0,0
WEB00000157,C005847,2024-05-31,iOS,Organic,10,11.0,0,0,0
WEB00000158,C024944,2025-06-22,Desktop,Organic,5,13.5,1,0,0
WEB00000159,C016089,2025-04-20,Android,Direct,9,5.2,1,1,1
WEB00000160,C042443,2025-04-14,Tablet,Paid Search,9,13.7,1,0,0
WEB00000161,C004598,2023-01-05,Android,Organic,10,9.9,1,0,0
WEB00000162,C047645,2024-01-11,Desktop,Social,4,7.2,1,0,0
WEB00000163,C036973,2023-06-22,Desktop,Social,5,0.8,0,0,0
WEB00000164,C007565,2025-01-05,iOS,Organic,5,4.4,0,0,0
WEB00000165,C030426,2024-03-11,Desktop,Referral,8,13.7,0,1,0
WEB00000166,C024091,2025-08-31,Desktop,Social,7,3.8,1,0,0
WEB00000167,C013868,2025-06-02,Desktop,Paid Search,5,3.6,0,0,0
WEB00000168,C045461,2024-03-27,Desktop,Direct,6,10.5,1,0,0
WEB00000169,C026814,2023-06-14,Android,Organic,10,5.5,1,0,0
WEB00000170,C029253,2025-09-24,iOS,Organic,7,2.2,1,0,0
WEB00000171,C039840,2023-03-16,Android,Referral,12,8.9,1,0,0
WEB00000172,C036640,2025-12-07,Android,Direct,2,5.7,0,0,0
WEB00000173,C048270,2023-12-17,Android,Organic,4,6.2,0,0,0
WEB00000174,C034540,2025-07-01,iOS,Social,4,6.9,1,0,0
WEB00000175,C012363,2025-10-28,Android,Organic,7,4.2,0,0,0
WEB00000176,C046694,2024-10-20,Android,Social,4,2.1,1,0,0
WEB00000177,C022516,2025-04-21,Tablet,Paid Search,5,9.4,0,0,0
WEB00000178,C009373,2025-11-03,iOS,Organic,8,10.6,1,1,1
WEB00000179,C048313,2024-09-06,iOS,,4,8.1,1,1,1
WEB00000180,C022670,2024-08-04,Android,Referral,10,6.0,1,0,0
WEB00000181,C016328,2025-12-19,Desktop,Organic,8,4.4,1,0,0
WEB00000182,C017554,2023-01-14,Android,Organic,8,9.0,1,0,0
WEB00000183,C037361,2024-06-15,iOS,Direct,6,9.4,0,0,0
WEB00000184,C030472,2024-11-02,Android,Direct,11,10.7,1,1,1
WEB00000185,C021230,2023-07-31,iOS,Organic,6,5.1,0,0,0
WEB00000186,C048010,2025-06-12,iOS,Organic,4,16.2,0,0,0
WEB00000187,C040805,2025-05-18,Android,Social,10,9.4,1,1,1
WEB00000188,C031654,2023-06-17,Tablet,,2,13.0,0,0,0
WEB00000189,C034450,2023-12-23,iOS,Direct,13,8.1,1,0,0
WEB00000190,C019828,2025-06-16,Android,Paid Search,9,7.8,0,0,0
WEB00000191,C024789,2025-05-27,Android,Social,4,2.9,1,0,0
WEB00000192,C036887,2023-12-20,iOS,Organic,8,8.7,1,1,1
WEB00000193,C019481,2025-02-19,Tablet,Organic,9,6.9,1,1,1
WEB00000194,C047103,2023-09-16,Android,Organic,10,14.8,0,0,0
WEB00000195,C046112,2025-07-31,iOS,Paid Search,7,4.9,0,0,0
WEB00000196,C020964,2023-09-10,Android,Organic,13,21.4,1,1,1
WEB00000197,C026813,2024-01-17,iOS,Paid Search,9,10.0,0,0,0
WEB00000198,C035971,2025-06-24,Tablet,Organic,4,17.8,0,1,0
WEB00000199,C031721,2023-10-27,iOS,Paid Search,9,2.7,1,0,0
WEB00000200,C014012,2024-09-11,Desktop,Organic,7,7.9,0,0,0
WEB00000201,C039077,2025-12-24,Android,Organic,9,6.4,1,0,0
WEB00000202,C032271,2024-04-21,Android,Paid Search,7,3.1,0,0,0
WEB00000203,C036157,2023-12-27,iOS,Organic,6,3.8,0,0,0
WEB00000204,C019100,2023-07-07,Desktop,Direct,2,7.4,0,0,0
WEB00000205,C019333,2023-03-18,Desktop,Paid Search,7,4.7,0,0,0
WEB00000206,C044928,2024-07-26,Android,Referral,2,5.4,0,0,0
WEB00000207,C009265,2025-05-22,Desktop,Direct,8,6.6,1,1,1
WEB00000208,C037203,2025-12-10,Desktop,Paid Search,6,12.6,0,1,0
WEB00000209,C011712,2025-12-19,Android,Organic,13,1.9,0,1,0
WEB00000210,C037044,2023-08-13,Tablet,Organic,9,19.1,1,0,0
WEB00000211,C012008,2023-08-07,Android,Paid Search,13,2.6,0,1,0
WEB00000212,C049134,2025-11-26,iOS,Organic,9,9.0,1,1,1
WEB00000213,C049367,2024-11-01,iOS,Paid Search,5,6.7,1,0,0
WEB00000214,C024648,2024-08-08,Desktop,Organic,4,14.9,0,0,0
WEB00000215,C041370,2025-08-03,Android,Organic,8,2.8,1,0,0
WEB00000216,C000276,2023-11-27,Android,,6,2.3,0,0,0
WEB00000217,C043695,2024-04-17,Desktop,Direct,6,8.1,1,0,0
WEB00000218,C035225,2024-06-01,Android,Organic,7,8.9,0,0,0
WEB00000219,C030207,2023-01-25,Android,Social,7,6.4,1,0,0
WEB00000220,C027097,2025-05-14,iOS,Organic,13,11.1,1,1,1
WEB00000221,C006899,2024-05-15,Android,Paid Search,7,4.1,1,0,0
WEB00000222,C039635,2023-09-18,Desktop,Social,11,10.6,1,0,0
WEB00000223,C006010,2024-12-08,Android,Referral,5,4.0,0,0,0
WEB00000224,C035350,2023-07-05,Android,Paid Search,6,32.1,1,1,1
WEB00000225,C008297,2023-02-10,Android,Social,6,10.3,0,0,0
WEB00000226,C029006,2024-07-17,Android,Social,7,15.2,1,1,1
WEB00000227,C023575,2024-06-22,Desktop,Social,4,16.3,0,0,0
WEB00000228,C028763,2025-02-28,Android,Organic,5,2.9,0,1,0
WEB00000229,C025385,2024-03-10,Android,Organic,6,0.7,0,0,0
WEB00000230,C034851,2023-03-15,iOS,Direct,5,2.7,0,0,0
WEB00000231,C039192,2025-12-30,Desktop,Paid Search,5,5.4,0,0,0
WEB00000232,C036863,2025-02-03,iOS,Organic,10,4.6,0,0,0
WEB00000233,C009840,2025-12-06,Desktop,Direct,11,10.2,1,0,0
WEB00000234,C032075,2024-03-06,iOS,Organic,16,11.5,1,0,0
WEB00000235,C046340,2025-09-25,Android,Organic,6,1.1,1,0,0
WEB00000236,C041623,2024-08-29,iOS,Organic,6,8.0,1,0,0
WEB00000237,C019393,2023-01-12,iOS,Organic,5,8.7,1,0,0
WEB00000238,C018048,2023-07-06,Android,Social,5,10.8,0,0,0
WEB00000239,C032664,2024-01-21,iOS,Direct,9,12.7,0,0,0
WEB00000240,C030846,2025-06-15,Android,Direct,5,8.8,1,0,0
WEB00000241,C037330,2024-04-07,iOS,Social,7,8.9,0,1,0
WEB00000242,C049481,2025-08-12,Tablet,Social,9,6.8,0,0,0
WEB00000243,C008052,2023-03-18,Desktop,Social,5,6.5,1,1,1
WEB00000244,C020044,2024-02-26,Android,Organic,5,4.7,0,1,0
WEB00000245,C020669,2023-06-14,Android,Paid Search,12,10.9,1,1,1
WEB00000246,C008691,2023-12-04,Desktop,Organic,10,3.8,1,0,0
WEB00000247,C015495,2025-09-03,Desktop,Organic,4,10.3,0,1,0
WEB00000248,C000491,2025-04-29,Desktop,Social,9,2.3,0,0,0
WEB00000249,C049656,2024-06-24,Android,Paid Search,6,10.7,1,1,1
WEB00000250,C040696,2023-01-31,iOS,Organic,6,5.2,1,0,0
WEB00000251,C013006,2023-05-24,iOS,Organic,4,9.2,1,0,0
WEB00000252,C015269,2024-10-30,iOS,Direct,11,8.6,0,0,0
WEB00000253,C044698,2025-04-19,Android,Paid Search,9,1.6,1,0,0
WEB00000254,C002388,2023-09-16,Desktop,Organic,6,14.1,1,0,0
WEB00000255,C039018,2023-02-19,Android,Paid Search,10,10.2,1,0,0
WEB00000256,C022859,2023-02-09,Android,Paid Search,8,16.0,0,0,0
WEB00000257,C038365,2025-10-28,iOS,Organic,3,3.3,1,0,0
WEB00000258,C028179,2025-02-02,Android,Social,7,8.0,0,0,0
WEB00000259,C000134,2024-10-23,iOS,Direct,10,12.5,0,0,0
WEB00000260,C002477,2025-10-15,Android,Organic,3,8.1,0,0,0
WEB00000261,C033163,2024-12-22,Android,Organic,13,11.2,1,1,1
WEB00000262,C023363,2025-12-26,Tablet,Organic,8,3.5,0,0,0
WEB00000263,C032864,2024-11-25,Tablet,Organic,10,9.0,1,0,0
WEB00000264,C041112,2025-10-21,iOS,Social,11,11.3,1,0,0
WEB00000265,C018357,2023-11-25,Desktop,Social,7,8.7,0,0,0
WEB00000266,C034570,2023-10-18,Android,Paid Search,5,1.5,0,0,0
WEB00000267,C014914,2025-08-20,Android,,6,26.8,1,0,0
WEB00000268,C039056,2023-05-10,Desktop,Referral,6,7.7,0,0,0
WEB00000269,C013639,2024-07-29,iOS,Paid Search,9,1.8,1,1,1
WEB00000270,C020908,2023-09-08,Android,Organic,11,8.8,1,0,0
WEB00000271,C031933,2024-10-23,iOS,Direct,6,3.0,0,0,0
WEB00000272,C007491,2023-05-08,Android,Direct,6,17.8,0,1,0
WEB00000273,C032074,2024-06-04,Android,Referral,7,7.8,0,0,0
WEB00000274,C005911,2024-11-18,Android,Direct,5,2.4,0,0,0
WEB00000275,C015884,2025-06-03,Desktop,Paid Search,12,12.0,1,1,1
WEB00000276,C043877,2024-05-17,iOS,Social,3,24.9,1,1,1
WEB00000277,C023227,2023-03-15,Desktop,Paid Search,4,14.2,1,0,0
WEB00000278,C005327,2025-06-10,Android,Paid Search,4,5.2,1,0,0
WEB00000279,C036495,2023-09-04,Android,Paid Search,6,10.0,0,0,0
WEB00000280,C026900,2024-01-21,iOS,Organic,9,6.8,0,0,0
WEB00000281,C004011,2025-06-20,Android,Organic,6,10.5,1,0,0
WEB00000282,C016108,2023-11-13,Android,Direct,7,22.8,0,0,0
WEB00000283,C037361,2024-02-16,Desktop,Organic,7,3.5,1,0,0
WEB00000284,C000461,2025-12-03,Android,Social,6,6.6,1,0,0
WEB00000285,C023180,2024-11-24,Android,Organic,7,8.4,1,0,0
WEB00000286,C042893,2025-02-09,Android,Paid Search,7,9.8,0,0,0
WEB00000287,C041885,2024-10-25,iOS,Organic,8,8.7,1,0,0
WEB00000288,C031576,2025-09-11,Android,Direct,7,4.5,1,0,0
WEB00000289,C018983,2024-10-06,Desktop,Social,6,8.6,0,0,0
WEB00000290,C041446,2025-07-05,Android,Paid Search,8,14.7,1,1,1
WEB00000291,C030010,2023-01-04,Android,Direct,13,9.8,1,0,0
WEB00000292,C017846,2024-11-24,Desktop,Referral,8,2.6,1,1,1
WEB00000293,C017520,2024-04-12,Tablet,Organic,8,8.8,1,0,0
WEB00000294,C039398,2023-05-31,Tablet,Social,10,7.6,0,0,0
WEB00000295,C024115,2024-03-09,Android,Organic,8,6.0,0,0,0
WEB00000296,C000134,2024-08-28,Tablet,Direct,5,5.9,1,0,0
WEB00000297,C014538,2025-12-13,iOS,Organic,7,8.9,1,0,0
WEB00000298,C040942,2025-02-06,Desktop,Social,10,7.1,1,1,1
WEB00000299,C004147,2025-04-06,Android,Organic,3,5.7,0,0,0
WEB00000300,C043128,2025-05-13,Android,Paid Search,9,11.1,1,0,0
WEB00000301,C027338,2023-10-23,Android,Referral,7,9.2,0,0,0
WEB00000302,C037997,2025-09-03,Tablet,Organic,6,5.9,1,0,0
WEB00000303,C023194,2023-04-14,Tablet,Organic,5,5.1,0,0,0
WEB00000304,C017265,2024-11-03,Android,Organic,14,10.9,1,1,1
WEB00000305,C044536,2024-09-17,Android,Paid Search,10,4.6,0,1,0
WEB00000306,C018307,2025-05-08,Android,Paid Search,12,5.6,1,0,0
WEB00000307,C035365,2023-11-21,Android,Organic,11,3.4,0,0,0
WEB00000308,C045896,2023-11-19,Android,Referral,3,3.2,0,1,0
WEB00000309,C004795,2025-04-21,Desktop,Organic,5,3.6,0,0,0
WEB00000310,C006770,2024-07-16,iOS,Referral,8,17.0,0,0,0
WEB00000311,C002255,2024-09-10,Android,Direct,10,3.5,0,0,0
WEB00000312,C018804,2025-10-27,Desktop,Organic,14,9.4,1,0,0
WEB00000313,C000017,2024-05-27,iOS,Paid Search,10,1.4,0,0,0
WEB00000314,C008225,2024-06-15,iOS,Organic,8,11.5,1,0,0
WEB00000315,C036518,2025-11-15,iOS,Direct,9,9.4,0,0,0
WEB00000316,C010248,2023-12-27,iOS,Organic,5,15.5,0,1,0
WEB00000317,C036617,2024-11-09,Android,Social,5,5.9,1,1,1
WEB00000318,C027809,2023-08-02,Android,Social,11,4.1,1,0,0
WEB00000319,C008245,2025-10-06,Desktop,Paid Search,4,1.8,0,0,0
WEB00000320,C043602,2024-12-21,iOS,Direct,6,5.9,1,1,1
WEB00000321,C029923,2024-09-27,Android,Organic,4,7.0,1,1,1
WEB00000322,C036790,2023-08-08,Android,Referral,6,12.1,0,0,0
WEB00000323,C000946,2025-06-03,Tablet,Organic,8,3.7,0,0,0
WEB00000324,C048852,2025-08-01,Desktop,Organic,9,1.9,1,0,0
WEB00000325,C012380,2023-04-09,iOS,Organic,8,7.8,1,0,0
WEB00000326,C026852,2025-04-05,iOS,Paid Search,4,12.5,0,0,0
WEB00000327,C037448,2025-06-13,iOS,Direct,9,6.3,0,0,0
WEB00000328,C003950,2024-10-13,Android,Organic,7,10.5,0,0,0
WEB00000329,C032508,2023-10-17,Android,Organic,8,10.1,1,1,1
WEB00000330,C016606,2023-06-14,Desktop,Paid Search,10,10.4,1,0,0
WEB00000331,C018838,2025-07-02,iOS,Paid Search,9,2.4,0,1,0
WEB00000332,C009220,2025-07-28,iOS,Organic,3,2.0,1,0,0
WEB00000333,C031884,2025-05-24,iOS,Referral,8,8.5,1,1,1
WEB00000334,C028364,2023-10-08,Desktop,Paid Search,5,11.3,0,0,0
WEB00000335,C049243,2025-06-23,Android,Direct,6,5.5,1,0,0
WEB00000336,C008518,2024-06-04,iOS,Organic,7,15.3,1,0,0
WEB00000337,C039676,2023-09-17,iOS,Organic,7,12.2,0,0,0
WEB00000338,C042583,2024-06-06,Desktop,Organic,11,9.1,1,1,1
WEB00000339,C023812,2024-01-11,Desktop,Organic,6,7.6,1,0,0
WEB00000340,C001808,2024-08-23,iOS,Paid Search,9,12.3,0,0,0
WEB00000341,C023335,2025-03-19,Desktop,Organic,6,1.7,0,0,0
WEB00000342,C028176,2025-10-11,Android,Direct,8,1.4,1,0,0
WEB00000343,C045181,2025-04-05,Tablet,Organic,4,10.0,0,0,0
WEB00000344,C018264,2024-09-09,iOS,Direct,7,4.1,0,0,0
WEB00000345,C000228,2025-03-16,Android,Paid Search,7,12.3,1,0,0
WEB00000346,C039753,2024-09-25,Tablet,Social,11,9.8,0,1,0
WEB00000347,C046613,2025-12-25,Desktop,,5,7.3,0,0,0
WEB00000348,C009481,2023-03-24,Desktop,Organic,7,8.0,1,0,0
WEB00000349,C047227,2024-09-12,Android,Organic,6,9.6,0,0,0
WEB00000350,C044780,2024-10-16,Android,Referral,11,3.3,1,1,1
WEB00000351,C016473,2024-01-05,Android,Organic,3,5.8,0,0,0
WEB00000352,C002925,2025-04-18,iOS,Organic,3,14.9,1,0,0
WEB00000353,C000537,2023-05-23,Desktop,Organic,7,10.1,0,0,0
WEB00000354,C012596,2023-01-15,Tablet,Organic,5,13.7,1,1,1
WEB00000355,C010235,2025-11-30,Desktop,Organic,6,2.9,1,0,0
WEB00000356,C040960,2024-10-20,Android,Organic,6,9.9,0,0,0
WEB00000357,C029765,2023-03-20,Desktop,Organic,5,10.6,1,0,0
WEB00000358,C013701,2025-02-18,Android,Paid Search,13,4.1,1,1,1
WEB00000359,C007319,2024-02-29,iOS,Organic,6,2.9,0,0,0
WEB00000360,C007016,2023-02-15,iOS,Organic,11,16.2,0,0,0
WEB00000361,C046612,2024-06-22,Desktop,Direct,8,18.8,1,0,0
WEB00000362,C048857,2023-01-07,Android,Paid Search,6,6.3,0,0,0
WEB00000363,C044912,2023-11-26,Android,Paid Search,6,6.9,0,0,0
WEB00000364,C043030,2023-01-08,Desktop,Organic,3,14.7,1,0,0
