Campaign_ID,Customer_ID,Campaign_Type,Send_Date,Opened,Clicked,Purchased,Campaign_Cost
M0000127,C042902,Email,2025-04-08,1,0,0,15.27
M0000128,C029764,SMS,2025-09-19,0,0,0,3.06
M0000129,C033583,Email,2024-08-23,0,0,0,15.77
M0000130,C039308,Push Notification,2025-06-26,1,0,0,19.31
M0000131,C008314,Push Notification,2025-08-14,0,0,0,11.03
M0000132,C007191,Email,2023-11-04,0,0,0,12.79
M0000133,C008260,SMS,2024-04-16,0,0,0,21.91
M0000134,C019614,SMS,2025-11-21,1,0,0,2.88
M0000135,C008165,Social Media,2023-09-03,0,0,0,4.01
M0000136,C045712,Email,2024-09-13,0,0,0,18.43
M0000137,C026668,Email,2023-09-03,0,0,0,17.29
M0000138,C014912,Social Media,2024-06-01,0,0,0,9.28
M0000139,C021418,Email,2024-06-20,1,0,0,8.55
M0000140,C003908,Social Media,2024-04-06,0,1,0,18.31
M0000141,C019412,Email,2024-10-06,0,0,0,18.23
M0000142,C002609,Social Media,2024-10-01,0,0,0,9.81
M0000143,C022081,Email,2025-07-01,0,0,0,10.16
M0000144,C008595,SMS,2025-04-04,1,0,0,7.6
M0000145,C001927,Email,2023-02-24,1,0,0,13.38
M0000146,C031292,Push Notification,2024-07-05,0,0,0,15.89
M0000147,C032073,Email,2024-04-18,0,0,1,9.6
M0000148,C026068,SMS,2023-12-18,0,0,0,12.95
M0000149,C036650,SMS,2023-07-22,0,0,0,0.86
M0000150,C016011,SMS,2025-05-14,0,0,0,3.39
M0000151,C033784,Email,2023-10-18,1,0,0,12.66
M0000152,C017071,Email,2025-08-08,0,0,0,18.58
M0000153,C034515,Push Notification,2023-05-15,0,0,0,19.12
M0000154,C014153,Email,2024-12-14,0,1,0,11.74
M0000155,C002452,Email,2023-01-20,0,1,0,3.12
M0000156,C013448,Social Media,2024-03-03,0,0,0,14.28
M0000157,C034822,Push Notification,2023-03-05,1,0,0,13.3
M0000158,C020215,SMS,2025-03-28,0,0,0,12.57
M0000159,C012657,Push Notification,2023-04-08,1,0,0,3.06
M0000160,C028268,Email,2024-03-07,0,0,0,15.33
M0000161,C025650,SMS,2025-11-29,0,0,0,21.27
M0000162,C029219,Email,2023-05-22,0,0,0,13.43
M0000163,C040724,Push Notification,2024-12-14,1,0,0,10.6
M0000164,C016412,Email,2024-08-25,0,1,1,20.1
M0000165,C044578,Email,2023-08-29,1,0,0,4.2
M0000166,C005294,SMS,2024-04-24,0,0,0,1.54
M0000167,C034734,Email,2023-06-07,0,0,0,9.31
M0000168,C040705,Push Notification,2025-07-24,0,0,0,20.76
M0000169,C027692,Email,2024-08-07,0,0,0,16.11
M0000170,C043313,Email,2025-05-10,0,0,0,12.31
M0000171,C047459,Email,2023-09-09,0,0,0,10.62
M0000172,C029651,Email,2025-05-22,0,0,0,4.89
M0000173,C016922,SMS,2023-01-15,0,0,0,9.2
M0000174,C030948,Push Notification,2025-10-04,0,0,0,19.77
M0000175,C002735,Email,2025-08-27,0,0,0,3.39
M0000176,C029184,Push Notification,2023-03-28,0,0,0,19.64
M0000177,C049711,Email,2023-06-29,0,0,0,19.82
M0000178,C047604,Push Notification,2024-12-18,0,0,0,7.93
M0000179,C005708,Push Notification,2023-02-02,0,0,0,9.3
M0000180,C007350,Push Notification,2024-03-23,1,1,0,6.57
M0000181,C033917,SMS,2023-11-03,1,0,0,21.73
M0000182,C033886,Push Notification,2025-12-28,0,0,0,16.12
M0000183,C015542,Email,2023-08-11,1,0,0,11.32
M0000184,C042633,Push Notification,2025-01-30,0,0,0,8.32
M0000185,C025332,SMS,2024-06-15,0,0,0,8.25
M0000186,C030363,Email,2024-09-10,0,0,0,11.62
M0000187,C014977,Email,2025-12-12,0,0,0,10.88
M0000188,C010766,Email,2025-12-30,1,0,0,1.8
M0000189,C018692,Email,2024-05-27,0,0,0,6.77
M0000190,C016546,Social Media,2025-05-20,0,0,0,10.46
M0000191,C009603,Push Notification,2023-10-12,1,0,0,21.65
M0000192,C007638,Push Notification,2024-02-06,0,0,0,18.35
M0000193,C048757,Email,2025-05-02,0,0,0,9.63
M0000194,C013245,SMS,2025-05-09,0,0,0,3.49
M0000195,C014027,SMS,2023-04-21,0,0,0,19.45
M0000196,C007922,Social Media,2023-12-24,0,0,0,13.83
M0000197,C018627,Email,2025-11-11,0,0,0,17.68
M0000198,C029857,Email,2024-10-20,0,0,0,10.4
M0000199,C018060,Push Notification,2024-06-01,0,0,0,14.66
M0000200,C046040,Email,2023-01-11,0,0,0,1.77
M0000201,C013470,Push Notification,2024-03-13,0,0,0,4.86
M0000202,C024537,Push Notification,2023-08-13,0,0,0,15.04
M0000203,C016531,Push Notification,2023-01-20,0,0,0,12.22
M0000204,C032748,Push Notification,2024-10-23,0,0,0,18.77
M0000205,C007889,Push Notification,2025-10-16,1,0,0,16.85
M0000206,C025066,Email,2023-08-22,0,0,0,17.81
M0000207,C025225,SMS,2023-05-08,0,0,0,12.99
M0000208,C017163,Push Notification,2024-09-09,1,1,0,10.19
M0000209,C028818,SMS,2025-09-21,1,0,0,4.1
M0000210,C005137,Email,2023-09-19,0,0,0,4.24
M0000211,C016851,SMS,2024-12-30,0,0,0,12.89
M0000212,C036659,SMS,2025-04-22,1,0,0,15.96
M0000213,C037753,Email,2024-10-12,1,0,1,8.15
M0000214,C040518,Social Media,2023-04-15,0,0,0,16.82
M0000215,C026687,Email,2024-11-10,1,0,0,7.68
M0000216,C045986,Push Notification,2024-07-23,1,0,0,18.52
M0000217,C041086,Push Notification,2024-11-05,0,0,0,6.51
M0000218,C019142,Email,2023-12-07,1,0,0,5.19
M0000219,C011463,Push Notification,2025-01-29,1,0,0,3.58
M0000220,C010246,Push Notification,2024-05-13,0,0,1,11.91
M0000221,C038381,Push Notification,2025-10-08,0,0,0,8.09
M0000222,C026671,Email,2024-01-17,0,0,0,14.13
M0000223,C018624,SMS,2023-06-26,0,0,0,8.64
M0000224,C002461,SMS,2025-07-17,0,0,0,20.99
M0000225,C014734,Email,2023-06-29,0,0,0,6.44
M0000226,C048604,Email,2023-12-28,0,0,0,4.92
M0000227,C034977,Push Notification,2025-05-12,0,0,0,9.4
M0000228,C027391,Email,2023-12-21,0,1,0,12.12
M0000229,C038794,Email,2025-04-27,0,0,0,21.57
M0000230,C036070,Push Notification,2024-02-27,1,0,0,9.49
M0000231,C040746,Email,2025-12-11,0,0,0,2.48
M0000232,C004113,Push Notification,2025-11-09,0,0,0,4.11
M0000233,C005274,Email,2024-07-29,0,0,0,8.54
M0000234,C018354,Push Notification,2024-07-11,1,1,0,13.55
M0000235,C000264,Email,2024-03-04,0,0,0,8.39
M0000236,C020926,Email,2025-11-13,0,0,0,19.89
M0000237,C017208,Email,2023-08-14,1,0,0,13.77
M0000238,C012867,Push Notification,2023-02-17,1,0,0,20.15
M0000239,C037654,SMS,2025-02-07,0,0,0,21.15
M0000240,C007807,Email,2023-02-04,0,0,0,14.56
M0000241,C037879,Email,2023-05-12,0,0,0,7.75
M0000242,C045964,SMS,2023-07-10,0,0,0,18.07
M0000243,C017433,SMS,2023-05-31,0,0,0,15.62
M0000244,C032610,Push Notification,2025-11-07,0,0,0,13.19
M0000245,C011702,Email,2025-03-18,0,0,1,20.76
M0000246,C008511,SMS,2024-11-16,1,0,0,4.05
M0000247,C024239,Push Notification,2024-04-14,0,0,0,21.26
M0000248,C006094,SMS,2024-07-02,1,0,0,6.94
M0000249,C009438,Email,2025-09-17,0,0,0,12.46
M0000250,C045896,Push Notification,2023-03-27,1,0,0,5.37
M0000251,C044040,Email,2023-02-23,0,0,0,21.75
M0000252,C007207,Push Notification,2025-02-01,0,0,0,5.71
M0000253,C017701,Email,2023-10-11,0,0,0,10.65
M0000254,C031028,Social Media,2025-12-18,0,0,0,5.14
M0000255,C030895,Email,2025-12-25,0,0,0,11.64
M0000256,C035000,Email,2023-01-17,0,0,0,3.68
M0000257,C003124,Email,2025-11-30,0,0,0,20.46
M0000258,C022766,Email,2025-02-02,0,0,0,21.07
M0000259,C029799,Push Notification,2025-07-21,0,0,0,2.35
M0000260,C021473,SMS,2024-11-30,0,0,1,1.86
M0000261,C015541,SMS,2023-05-11,0,0,0,15.01
M0000262,C032523,SMS,2023-08-21,0,0,0,4.82
M0000263,C000524,Email,2024-03-19,0,1,0,9.9
M0000264,C003283,Push Notification,2025-10-14,0,0,0,13.69
M0000265,C015512,SMS,2025-11-28,1,0,0,21.27
M0000266,C045737,Email,2025-03-04,0,1,0,14.05
M0000267,C041512,Email,2023-10-26,0,0,0,21.77
M0000268,C018133,Social Media,2024-01-06,1,1,0,3.21
M0000269,C040913,Email,2024-06-04,0,0,0,5.25
M0000270,C011163,SMS,2025-03-16,0,0,0,3.58
M0000271,C031688,Email,2023-02-26,0,0,0,4.08
M0000272,C008901,Push Notification,2023-10-06,1,0,0,7.66
M0000273,C012219,Email,2024-01-02,0,0,0,9.89
M0000274,C014202,Push Notification,2025-12-21,0,0,0,12.83
M0000275,C034201,Push Notification,2025-02-14,1,0,0,21.26
M0000276,C033938,Email,2024-07-18,0,0,0,3.21
M0000277,C007102,Email,2025-12-25,0,0,0,12.83
M0000278,C007738,Social Media,2025-04-09,0,0,0,17.32
M0000279,C038300,SMS,2024-08-03,0,1,0,5.14
M0000280,C021348,Push Notification,2024-10-28,0,0,0,16.46
M0000281,C027282,Social Media,2025-10-30,0,0,0,13.89
M0000282,C012808,Push Notification,2023-07-17,0,0,0,13.67
M0000283,C038473,Push Notification,2025-04-30,1,1,1,20.05
M0000284,C036090,Social Media,2024-01-18,0,0,0,19.4
M0000285,C008195,SMS,2023-01-31,0,0,0,1.22
M0000286,C033089,Email,2023-02-27,0,1,0,3.02
M0000287,C048931,Push Notification,2025-02-09,1,1,1,8.46
M0000288,C040481,Social Media,2024-04-26,0,0,0,2.0
M0000289,C035223,Email,2023-10-13,1,0,0,15.92
M0000290,C003517,Push Notification,2024-10-27,0,0,0,19.49
M0000291,C046027,Email,2024-11-23,1,0,0,8.57
M0000292,C043794,SMS,2024-12-29,0,0,0,4.38
M0000293,C039583,SMS,2023-08-02,1,0,0,7.49
M0000294,C040211,Push Notification,2025-05-09,0,0,0,17.04
M0000295,C037973,SMS,2025-01-06,0,0,0,9.69
M0000296,C025686,Push Notification,2023-10-12,0,0,0,5.18
M0000297,C045881,Email,2024-01-25,1,0,0,13.98
M0000298,C026289,Email,2024-01-18,0,0,0,12.39
M0000299,C015830,SMS,2024-03-01,0,0,0,4.26
M0000300,C044444,Email,2025-10-05,0,0,0,16.95
M0000301,C048353,SMS,2024-05-21,1,0,1,13.97
M0000302,C000050,Email,2025-12-25,0,0,0,9.79
M0000303,C033852,Email,2023-07-18,0,0,0,4.97
M0000304,C022843,Email,2024-06-11,0,0,0,18.02
M0000305,C012723,SMS,2023-04-05,0,0,1,4.24
M0000306,C015318,SMS,2024-06-28,0,0,0,18.27
M0000307,C029832,Email,2024-06-05,0,0,0,20.56
M0000308,C035847,Email,2023-12-01,0,0,0,5.36
M0000309,C023360,Push Notification,2024-08-31,0,0,0,9.16
M0000310,C015019,Email,2025-04-26,0,0,0,2.89
M0000311,C014502,SMS,2023-04-30,0,1,0,15.71
M0000312,C006547,SMS,2024-05-23,0,0,0,19.59
M0000313,C009345,Push Notification,2023-05-07,0,0,0,19.04
M0000314,C003873,SMS,2023-10-12,0,0,0,8.04
M0000315,C007685,Email,2023-07-23,1,0,0,21.14
M0000316,C010101,Push Notification,2025-07-10,1,1,0,20.57
M0000317,C015796,Push Notification,2024-09-15,0,1,1,11.9
M0000318,C025114,Push Notification,2023-07-06,1,0,0,6.52
M0000319,C006232,Push Notification,2023-07-02,0,0,0,10.56
M0000320,C045440,SMS,2023-06-15,0,0,0,12.84
M0000321,C005123,Email,2023-11-30,1,0,0,17.43
M0000322,C017209,Push Notification,2024-03-04,1,1,0,7.62
M0000323,C029153,Push Notification,2023-04-21,0,0,0,20.88
M0000324,C010133,Push Notification,2024-10-27,0,0,0,19.85
M0000325,C046957,Email,2023-07-13,0,0,0,17.63
M0000326,C039085,SMS,2025-12-23,0,0,0,7.7
M0000327,C016044,Email,2025-12-02,0,0,0,21.27
M0000328,C018898,Email,2023-09-23,0,0,0,19.76
M0000329,C018475,Push Notification,2024-02-18,0,0,0,4.58
M0000330,C028871,Email,2024-04-24,1,0,0,20.03
M0000331,C009459,Email,2025-04-30,0,0,0,9.0
M0000332,C005462,Email,2025-02-26,0,0,0,11.84
M0000333,C047987,Email,2024-02-11,0,0,0,20.13
M0000334,C041840,Push Notification,2024-02-20,0,0,0,17.85
M0000335,C026108,Email,2023-08-25,0,0,0,12.99
M0000336,C018838,Push Notification,2025-11-03,1,0,0,7.84
M0000337,C036852,Push Notification,2023-12-14,1,1,0,21.69
M0000338,C003814,SMS,2024-03-28,1,0,0,6.45
M0000339,C016910,Email,2023-02-16,1,0,0,5.39
M0000340,C046335,Push Notification,2024-02-23,1,1,0,16.95
M0000341,C047959,SMS,2025-11-28,1,0,0,7.32
M0000342,C042757,Push Notification,2023-01-10,0,0,1,20.65
M0000343,C028272,Email,2023-02-05,0,0,0,7.79
M0000344,C037905,SMS,2023-07-02,0,0,0,17.37
M0000345,C032665,Push Notification,2024-04-02,0,0,1,5.13
M0000346,C020858,Email,2024-03-12,0,0,0,19.42
M0000347,C033259,SMS,2025-07-10,0,0,0,7.32
M0000348,C038441,Push Notification,2024-06-19,1,1,0,8.35
M0000349,C030636,SMS,2023-02-23,0,0,0,6.26
M0000350,C007569,Push Notification,2024-08-25,0,0,0,4.23
M0000351,C011828,Email,2025-10-10,0,0,0,16.79
M0000352,C015710,SMS,2023-07-31,1,0,0,12.16
M0000353,C040231,SMS,2025-10-31,0,0,0,12.05
M0000354,C017189,Email,2023-06-13,0,0,1,5.42
M0000355,C035853,Email,2025-05-20,1,0,0,12.5
M0000356,C028548,SMS,2025-09-27,0,1,0,17.83
M0000357,C043134,SMS,2025-02-22,0,1,0,21.58
M0000358,C007363,SMS,2023-12-08,0,0,0,15.61
M0000359,C033091,SMS,2024-12-10,0,0,0,17.41
M0000360,C014427,Email,2024-01-14,0,0,1,13.94
M0000361,C024732,Push Notification,2025-02-28,1,0,0,6.58
M0000362,C007802,Email,2024-07-18,1,0,0,19.59
M0000363,C022797,Email,2024-01-09,0,0,0,18.47
M0000364,C025945,Push Notification,2024-05-16,0,1,1,8.01
M0000365,C016225,SMS,2024-11-03,0,0,0,7.78
M0000366,C047685,SMS,2025-03-03,0,0,0,2.45
M0000367,C038792,Email,2023-09-12,0,0,0,13.48
M0000368,C013890,Social Media,2023-05-23,0,0,0,12.53
M0000369,C012647,Email,2023-11-15,1,0,0,2.04
M0000370,C045381,SMS,2025-12-20,0,0,0,11.63
M0000371,C035631,SMS,2025-02-02,0,0,0,14.93
M0000372,C046171,Email,2024-12-19,0,0,0,9.9
M0000373,C043752,Email,2025-10-04,0,0,0,13.98
M0000374,C012078,Email,2024-03-22,0,0,0,3.89
M0000375,C017499,Email,2024-07-24,1,0,0,14.59
M0000376,C006197,Email,2024-07-05,1,1,0,13.95
M0000377,C038711,Social Media,2025-11-09,1,0,0,20.72
M0000378,C026343,Push Notification,2025-11-02,1,0,0,7.98
M0000379,C006883,SMS,2023-04-23,0,0,0,11.17
M0000380,C037705,Social Media,2025-01-25,0,1,0,11.11
M0000381,C023012,Email,2024-01-31,1,0,1,7.03
M0000382,C026773,Push Notification,2023-08-23,1,0,1,4.8
M0000383,C033302,Push Notification,2023-06-27,1,0,0,16.78
M0000384,C011820,Push Notification,2023-11-05,0,0,0,9.44
M0000385,C025662,Email,2024-07-11,1,1,0,18.01
M0000386,C001665,Email,2023-07-29,0,0,0,2.61
M0000387,C002683,Email,2025-03-27,0,0,0,6.21
M0000388,C040475,Email,2024-09-18,0,0,0,2.36
M0000389,C044844,SMS,2025-02-13,0,0,1,1.49
M0000390,C025126,Email,2025-03-02,0,0,0,20.47
M0000391,C007131,Push Notification,2023-03-07,0,0,0,19.5
M0000392,C022597,SMS,2024-02-18,0,0,1,7.26
M0000393,C048652,Email,2023-02-05,0,0,0,11.42
M0000394,C044470,Push Notification,2025-07-23,0,0,0,6.24
M0000395,C033294,Email,2023-01-30,0,0,0,1.85
M0000396,C038209,Push Notification,2025-09-22,1,0,0,10.4
M0000397,C036071,Email,2024-11-10,0,0,0,13.9
M0000398,C026122,Email,2023-02-22,0,0,0,14.03
M0000399,C049450,Push Notification,2025-04-23,0,0,0,3.16
M0000400,C011339,SMS,2024-12-09,1,1,0,4.33
M0000401,C022585,Push Notification,2023-05-26,0,0,0,5.63
M0000402,C029940,Email,2025-09-07,1,1,0,5.89
M0000403,C007533,Push Notification,2025-05-19,0,1,0,6.22
M0000404,C039843,Push Notification,2024-11-12,1,0,0,11.68
M0000405,C040954,Social Media,2024-11-01,0,0,0,5.34
M0000406,C011885,SMS,2024-12-01,0,0,0,12.97
M0000407,C026611,SMS,2025-04-22,0,0,0,4.27
M0000408,C001691,SMS,2024-02-11,0,0,0,7.74
M0000409,C011552,SMS,2024-05-15,0,0,0,9.34
M0000410,C013157,Push Notification,2023-10-20,0,0,0,19.57
M0000411,C021584,Email,2023-11-28,0,0,1,4.67
M0000412,C011101,SMS,2023-11-04,0,0,0,12.02
M0000413,C022694,Email,2024-03-13,1,0,1,4.88
M0000414,C047825,SMS,2025-08-29,1,1,0,7.79
M0000415,C039588,Push Notification,2025-08-24,0,0,0,1.38
M0000416,C004355,SMS,2025-02-10,1,0,0,7.69
M0000417,C043915,SMS,2025-12-17,1,0,0,2.55
M0000418,C036245,Social Media,2023-03-25,0,0,0,9.32
M0000419,C005491,Email,2024-10-23,0,0,0,7.13
M0000420,C006469,SMS,2024-05-17,0,0,0,8.8
M0000421,C023929,Push Notification,2023-10-28,0,0,0,2.83
M0000422,C042673,Email,2024-12-29,0,0,0,20.64
M0000423,C010050,Email,2025-08-19,0,1,0,17.74
M0000424,C015356,Email,2025-06-13,1,0,0,13.87
M0000425,C017746,Email,2023-06-06,0,0,0,8.47
M0000426,C011184,SMS,2024-02-03,0,0,0,17.9
M0000427,C032254,Push Notification,2025-04-02,0,1,0,6.36
M0000428,C025255,Push Notification,2025-01-01,0,1,0,10.05
M0000429,C013318,Push Notification,2025-03-15,0,0,0,6.31
M0000430,C013194,SMS,2025-08-29,0,0,0,10.08
M0000431,C021310,Push Notification,2024-06-08,1,0,0,17.76
M0000432,C032610,Push Notification,2025-08-31,0,0,0,5.18
M0000433,C014500,Email,2024-09-10,1,0,0,3.5
M0000434,C007752,SMS,2024-10-04,0,1,0,18.48
M0000435,C000313,Push Notification,2024-09-09,1,0,0,21.93
M0000436,C026207,SMS,2023-04-15,0,0,0,13.57
M0000437,C042717,Email,2025-04-23,0,0,0,21.82
M0000438,C012597,Push Notification,2025-11-21,0,0,0,13.15
M0000439,C008956,SMS,2024-12-08,0,0,0,20.01
M0000440,C031655,SMS,2024-11-14,0,0,0,11.53
M0000441,C028889,Email,2023-06-26,0,0,0,12.52
M0000442,C038726,Email,2023-05-02,0,0,0,2.13
M0000443,C010697,Email,2023-09-16,0,0,0,3.07
M0000444,C022799,Email,2023-12-12,0,0,0,1.83
M0000445,C046305,Push Notification,2025-08-14,0,0,0,10.82
M0000446,C012152,Push Notification,2025-12-21,0,0,0,14.1
M0000447,C013818,SMS,2025-04-30,0,0,0,18.59
M0000448,C006704,Social Media,2024-03-21,0,0,0,15.8
M0000449,C027014,SMS,2025-03-19,0,0,0,13.02
M0000450,C032735,Email,2025-03-26,0,0,1,11.08
M0000451,C026572,Email,2025-03-06,0,0,0,2.26
M0000452,C006611,SMS,2023-11-08,0,0,0,8.9
M0000453,C007147,Email,2024-02-22,0,0,0,2.06
M0000454,C010769,Push Notification,2025-07-17,1,0,0,9.17
M0000455,C012516,Social Media,2024-10-05,1,0,0,15.41
M0000456,C009151,Push Notification,2024-08-15,0,1,1,9.72
M0000457,C037330,Push Notification,2024-03-17,0,0,0,15.54
M0000458,C032959,Email,2023-08-07,0,0,0,4.65
M0000459,C018926,Email,2023-12-13,0,0,0,15.65
