Customer_ID,Gender,Age,Marital_Status,City,State,Income_Bracket,Annual_Income,Occupation,Customer_Segment,Signup_Date,Loyalty_Tier,Preferred_Channel,App_User_Flag,Credit_Score,Household_Size,Tenure_Months,Last_Login_Days_Ago
C000019,Female,42,Married,Tamil Nadu City 3,Tamil Nadu,Medium,815025.0,Self Employed,Regular,2019-08-10,Bronze,Mobile App,0,729,3,57,225
C000020,Female,41,Single,Karnataka City 2,Karnataka,Medium,767090.0,Self Employed,Deal Hunter,2016-07-25,Bronze,Website,0,600,5,104,170
C000021,Male,25,Single,Delhi City 3,Delhi,Medium,781094.0,Salaried,Regular,2016-06-25,Bronze,Mobile App,0,643,4,59,50
C000022,Male,59,Married,Delhi City 3,Delhi,Medium,1030152.0,Salaried,Regular,2025-10-27,Platinum,Mobile App,0,781,4,106,7
C000023,Male,38,Married,Telangana City 3,Telangana,Low,497479.0,Retired,Regular,2021-09-07,Bronze,Mobile App,1,798,3,73,52
C000024,Female,36,Married,Maharashtra City 1,Maharashtra,Medium,804359.0,Salaried,Regular,2024-04-14,Bronze,Website,1,654,4,55,31
C000025,Female,31,Married,Karnataka City 3,Karnataka,Medium,1037755.0,Self Employed,Deal Hunter,2022-12-22,Silver,Mobile App,1,579,3,72,0
C000026,Male,23,Married,Telangana City 2,Telangana,High,2839613.0,Salaried,Premium,2024-07-26,Silver,Mobile App,1,768,4,13,46
C000027,Male,47,Single,Kerala City 2,Kerala,High,2021762.0,Self Employed,Value Seeker,2024-02-25,Bronze,Physical Store,0,625,1,18,182
C000028,Female,36,Single,Karnataka City 3,Karnataka,Medium,1009305.0,Salaried,Premium,2021-11-30,Bronze,Physical Store,0,695,6,22,51
C000029,Male,56,Single,Tamil Nadu City 1,Tamil Nadu,Medium,544680.0,Self Employed,Regular,2020-09-26,Bronze,Physical Store,1,657,1,82,107
C000030,Male,31,Married,Tamil Nadu City 1,Tamil Nadu,Medium,771131.0,Salaried,Premium,2018-04-25,Silver,Website,0,708,1,61,150
C000031,Male,19,Married,Gujarat City 3,Gujarat,Low,120000.0,Salaried,Deal Hunter,2025-07-19,Bronze,Website,0,652,1,74,34
C000032,Female,37,Married,Maharashtra City 2,Maharashtra,High,1738855.0,Self Employed,Premium,2022-06-30,Gold,Physical Store,1,772,1,71,24
C000033,Male,50,Married,Maharashtra City 3,Maharashtra,Medium,1248256.0,Salaried,Premium,2019-11-19,Gold,Website,0,698,3,25,111
C000034,Male,41,Married,Delhi City 3,Delhi,Medium,412915.0,Self Employed,Value Seeker,2017-04-04,Gold,Mobile App,0,716,4,41,23
C000035,Male,66,Single,Tamil Nadu City 2,Tamil Nadu,Low,319773.0,Self Employed,Value Seeker,2016-10-20,Silver,Website,1,668,6,85,0
C000036,Female,18,Single,Tamil Nadu City 1,Tamil Nadu,Very High,2946159.0,Retired,Value Seeker,2021-08-12,Silver,Website,1,774,2,24,34
C000037,Male,29,Married,West Bengal City 3,West Bengal,Low,237238.0,Student,Regular,2024-06-13,Platinum,Mobile App,0,705,4,82,9
C000038,Male,30,Single,Gujarat City 1,Gujarat,Medium,753677.0,Salaried,Value Seeker,2022-12-05,Bronze,Mobile App,0,678,2,110,44
C000039,Male,41,Single,West Bengal City 3,West Bengal,Medium,385190.0,Homemaker,Premium,2018-06-23,Gold,Mobile App,1,649,3,99,0
C000040,Male,40,Married,Gujarat City 2,Gujarat,Medium,734540.0,Retired,Deal Hunter,2022-05-23,Bronze,Physical Store,1,606,6,101,18
C000041,Female,53,Married,Telangana City 2,Telangana,High,,Student,Value Seeker,2016-12-27,Gold,Mobile App,0,724,6,37,45
C000042,Male,34,Single,Rajasthan City 3,Rajasthan,Medium,1014640.0,Salaried,Deal Hunter,2023-01-19,Bronze,Physical Store,1,850,4,59,84
C000043,Male,39,Single,Gujarat City 1,Gujarat,Low,261980.0,Retired,Deal Hunter,2025-05-07,Gold,Mobile App,1,764,3,62,65
C000044,Female,57,Married,Maharashtra City 3,Maharashtra,Medium,982898.0,Salaried,Deal Hunter,2021-11-11,Gold,Website,0,712,4,8,47
C000045,Female,35,Single,West Bengal City 1,West Bengal,,2498360.0,Salaried,Value Seeker,2018-10-28,Gold,Mobile App,1,619,2,88,80
C000046,Female,39,Single,Delhi City 3,Delhi,,281356.0,Salaried,Premium,2022-04-14,Silver,Mobile App,0,706,6,45,28
C000047,Male,42,Single,West Bengal City 3,West Bengal,Low,205415.0,Salaried,Value Seeker,2016-06-17,Bronze,Mobile App,1,675,4,93,162
C000048,Male,26,Married,Tamil Nadu City 2,Tamil Nadu,High,1930953.0,Salaried,Regular,2025-02-23,Bronze,Physical Store,1,805,2,45,15
C000049,Female,22,Single,Maharashtra City 3,Maharashtra,Low,405076.0,Salaried,Premium,2025-01-16,Silver,Mobile App,0,682,2,113,19
C000050,Male,40,Married,West Bengal City 2,West Bengal,Low,383078.0,Salaried,Regular,2022-06-11,Silver,Mobile App,0,647,3,85,3
C000051,Male,31,Married,Rajasthan City 3,Rajasthan,Medium,679411.0,,Premium,2021-01-23,Gold,Website,1,706,3,70,0
C000052,Male,24,Married,Karnataka City 3,Karnataka,Medium,830362.0,Retired,Value Seeker,2017-03-18,Gold,Physical Store,1,706,5,3,76
C000053,Male,40,Single,Rajasthan City 2,Rajasthan,High,1706423.0,Self Employed,Value Seeker,2020-06-22,Bronze,Mobile App,1,644,3,29,23
C000054,Female,29,Married,Maharashtra City 2,Maharashtra,Low,407103.0,Salaried,Regular,2025-12-25,Silver,Website,1,848,5,96,22
C000055,Male,54,Married,West Bengal City 2,West Bengal,Medium,,Homemaker,Regular,2016-11-28,Gold,Mobile App,0,561,3,29,24
C000056,Male,22,Single,Gujarat City 3,Gujarat,Medium,3170381.739586171,Student,Regular,2022-12-01,Bronze,Mobile App,0,765,4,102,38
C000057,Female,46,Married,West Bengal City 2,West Bengal,Low,323656.0,Retired,Deal Hunter,2019-03-12,Bronze,Mobile App,0,575,1,94,74
C000058,Male,28,Single,Delhi City 3,Delhi,Low,435026.0,Salaried,Value Seeker,2024-09-17,Silver,Mobile App,1,733,1,18,52
C000059,Male,23,Single,Telangana City 3,Telangana,Medium,854632.0,Salaried,Value Seeker,2022-11-30,Bronze,Website,1,701,3,35,31
C000060,Male,58,Single,Uttar Pradesh City 3,Uttar Pradesh,Low,330966.0,Salaried,Value Seeker,2016-01-19,Bronze,Mobile App,1,530,4,83,63
C000061,Male,49,Single,Rajasthan City 1,Rajasthan,Medium,789965.0,Salaried,Regular,2018-05-10,Bronze,Website,0,625,3,103,166
C000062,Female,28,Married,Maharashtra City 1,Maharashtra,Low,282938.0,Retired,Regular,2025-09-23,Silver,Mobile App,0,721,4,112,26
C000063,Male,37,Married,Maharashtra City 2,Maharashtra,Low,420349.0,Salaried,Regular,2019-12-29,Bronze,Physical Store,0,614,3,91,41
C000064,Female,45,Married,Rajasthan City 3,Rajasthan,Medium,1177497.0,,Value Seeker,2022-01-01,Bronze,Website,0,676,4,67,76
C000065,Male,38,Married,Karnataka City 3,Karnataka,Low,459776.0,Self Employed,Deal Hunter,2021-02-01,Silver,Mobile App,0,843,6,86,2
C000066,Male,30,Single,Karnataka City 3,Karnataka,Low,309766.0,Salaried,Value Seeker,2024-10-07,Bronze,Mobile App,1,597,4,99,35
C000067,Female,32,Married,Tamil Nadu City 3,Tamil Nadu,Medium,874409.0,Homemaker,Value Seeker,2022-08-02,Bronze,Mobile App,1,590,2,95,106
C000068,Male,41,Single,Rajasthan City 2,Rajasthan,Medium,592002.0,Student,Value Seeker,2024-03-22,Bronze,Website,0,538,3,17,58
C000069,Female,34,Married,Karnataka City 3,Karnataka,Medium,287586.0,Homemaker,Regular,2021-04-29,Platinum,Mobile App,1,835,5,39,0
C000070,Male,43,Single,Karnataka City 2,Karnataka,Low,443422.0,Student,Regular,2024-06-02,Gold,Physical Store,0,651,3,27,65
C000071,Female,26,Married,Maharashtra City 2,Maharashtra,High,1748696.0,Salaried,Value Seeker,2019-01-07,Silver,Website,0,734,3,60,77
C000072,Male,34,Single,Karnataka City 1,Karnataka,Low,381240.0,Salaried,Regular,2025-09-20,Bronze,Website,0,698,4,34,45
C000073,Male,52,Single,Maharashtra City 3,Maharashtra,Medium,941008.0,,Value Seeker,2022-12-14,Gold,Mobile App,1,628,2,26,99
C000074,Female,18,Single,Delhi City 1,Delhi,Medium,786115.0,Self Employed,Value Seeker,2021-04-12,Bronze,Mobile App,0,690,4,56,104
C000075,Male,26,Single,Karnataka City 2,Karnataka,,352424.0,Salaried,Value Seeker,2022-12-20,Bronze,Website,0,683,5,23,31
C000076,Female,47,Single,Maharashtra City 2,Maharashtra,High,1458226.0,Self Employed,Regular,2023-02-15,Gold,Mobile App,1,765,6,6,0
C000077,Female,18,Single,Tamil Nadu City 1,Tamil Nadu,Low,261753.0,Self Employed,Regular,2021-10-20,Bronze,Website,1,783,5,28,43
C000078,Other,51,Single,Karnataka City 3,Karnataka,High,1493985.0,Retired,Value Seeker,2022-04-09,Bronze,Website,0,627,2,35,92
C000079,Female,22,Single,Karnataka City 2,Karnataka,High,1345093.0,Salaried,Regular,2020-06-25,Silver,Physical Store,0,765,4,70,36
C000080,Male,32,Married,West Bengal City 1,West Bengal,Medium,959715.0,Salaried,Deal Hunter,2021-08-02,Bronze,Mobile App,0,740,2,114,61
C000081,Female,24,Single,Tamil Nadu City 2,Tamil Nadu,Low,332612.0,Student,Regular,2022-08-29,Silver,Mobile App,1,612,2,27,28
C000082,Female,34,Single,Maharashtra City 2,Maharashtra,Low,361632.0,Salaried,Premium,2023-11-26,Silver,Physical Store,0,768,5,5,54
C000083,Male,40,Single,Gujarat City 3,Gujarat,High,1161891.0,Salaried,Premium,2020-02-09,Bronze,Mobile App,1,737,4,86,78
C000084,Male,48,Divorced,Tamil Nadu City 1,Tamil Nadu,Medium,959221.0,Homemaker,Value Seeker,2017-03-15,Bronze,Website,1,712,3,59,105
C000085,Female,28,Married,West Bengal City 3,West Bengal,Medium,583490.0,Student,Deal Hunter,2017-03-26,Silver,Mobile App,1,651,3,112,0
C000086,Female,49,Married,Uttar Pradesh City 1,Uttar Pradesh,,5978255.764616598,Self Employed,Regular,2019-01-23,Gold,Website,0,781,1,94,59
C000087,Female,38,Single,Delhi City 2,Delhi,Medium,433331.0,Salaried,Deal Hunter,2023-06-03,Bronze,Website,0,811,4,77,33
C000088,Female,37,Married,Maharashtra City 3,Maharashtra,Medium,866123.0,Homemaker,Regular,2023-09-30,Silver,Physical Store,1,500,2,103,34
C000089,Male,32,Married,Uttar Pradesh City 1,Uttar Pradesh,Low,332451.0,Salaried,Premium,2019-11-10,Silver,Mobile App,1,655,3,45,33
C000090,Male,33,Married,Maharashtra City 3,Maharashtra,Medium,621957.0,,Regular,2019-05-08,Bronze,Mobile App,0,692,5,51,209
C000091,Male,62,Married,Uttar Pradesh City 3,Uttar Pradesh,Low,351010.0,Self Employed,Deal Hunter,2019-04-05,Bronze,Mobile App,0,650,3,87,54
C000092,Male,57,Married,Delhi City 1,Delhi,High,1714061.0,Salaried,Deal Hunter,2022-12-19,Bronze,Website,0,560,1,29,90
C000093,Female,44,Single,Gujarat City 2,Gujarat,,1078809.0,Self Employed,Value Seeker,2019-03-22,Gold,Mobile App,0,763,3,22,94
C000094,Male,56,Married,Uttar Pradesh City 3,Uttar Pradesh,Low,516936.0,Student,Premium,2025-09-24,Bronze,Physical Store,0,653,2,43,70
C000095,Male,49,Single,Karnataka City 3,Karnataka,Medium,648937.0,Salaried,Regular,2016-08-31,Bronze,Website,0,686,3,90,47
C000096,Male,29,Married,West Bengal City 1,West Bengal,,2466513.0,Salaried,Regular,2018-07-31,Silver,Mobile App,0,850,1,48,67
C000097,Male,26,Married,Gujarat City 3,Gujarat,Medium,934190.0,Salaried,Value Seeker,2022-06-06,Bronze,Physical Store,1,741,2,66,24
C000098,Female,40,Married,Delhi City 2,Delhi,High,1311954.0,Salaried,Premium,2017-01-25,Bronze,Website,0,641,2,7,188
C000099,Female,48,Single,West Bengal City 2,West Bengal,Medium,745025.0,Salaried,Value Seeker,2021-06-05,Gold,Website,0,662,4,95,91
C000100,Female,39,Married,Rajasthan City 2,Rajasthan,Medium,698510.0,Salaried,Value Seeker,2017-01-17,Bronze,Physical Store,0,670,1,2,35
C000101,Male,27,Single,Kerala City 1,Kerala,Medium,678040.0,Self Employed,Regular,2024-12-29,Silver,Website,0,745,2,91,81
C000102,Male,30,Single,West Bengal City 1,West Bengal,Medium,,Homemaker,Value Seeker,2018-02-24,Silver,Website,1,666,2,111,59
C000103,Male,18,Married,Tamil Nadu City 1,Tamil Nadu,Low,425413.0,Self Employed,Value Seeker,2023-08-29,Platinum,Physical Store,1,798,3,120,0
C000104,Male,50,Married,Telangana City 2,Telangana,Low,196666.0,Salaried,Regular,2016-11-04,Platinum,Website,1,729,2,42,0
C000105,Other,24,Married,Gujarat City 1,Gujarat,Medium,819081.0,Retired,Value Seeker,2025-08-24,Gold,Website,1,800,5,36,0
C000106,Female,47,Single,Gujarat City 1,Gujarat,Medium,1057310.0,Student,Regular,2023-09-03,Gold,Website,0,649,1,120,20
C000107,Male,48,Married,West Bengal City 3,West Bengal,Medium,1537600.0,Salaried,Regular,2022-10-03,Bronze,Mobile App,0,664,2,7,55
C000108,Male,37,Single,Gujarat City 3,Gujarat,Low,345196.0,Self Employed,Regular,2025-03-13,Bronze,Mobile App,0,570,3,75,34
C000109,Female,30,Married,Maharashtra City 1,Maharashtra,,1472784.0,Self Employed,Regular,2023-12-20,Bronze,Website,1,550,5,79,35
C000110,Female,42,Married,Karnataka City 3,Karnataka,Medium,698499.0,Retired,Value Seeker,2025-07-11,Silver,Website,1,770,3,32,97
C000111,Male,28,Married,Karnataka City 2,Karnataka,Medium,973653.0,Salaried,Regular,2024-03-19,Bronze,Mobile App,1,570,3,103,95
C000112,Male,34,Single,Uttar Pradesh City 3,Uttar Pradesh,High,1538787.0,Salaried,Regular,2022-10-28,Bronze,Website,0,580,3,114,30
C000113,Female,65,Single,Maharashtra City 1,Maharashtra,Medium,1043144.0,Salaried,Regular,2025-05-09,Bronze,Mobile App,0,686,2,95,42
C000114,Female,42,Married,Tamil Nadu City 2,Tamil Nadu,,836573.0,Salaried,Regular,2021-05-08,Bronze,Mobile App,0,622,2,55,72
C000115,Male,36,Single,Kerala City 1,Kerala,Medium,1052257.0,Salaried,Regular,2025-08-12,Silver,Mobile App,1,762,3,67,8
C000116,Male,32,Married,Telangana City 1,Telangana,,768568.0,Salaried,Regular,2017-03-07,Silver,Physical Store,1,711,4,19,40
C000117,Female,36,Married,Karnataka City 3,Karnataka,Medium,935580.0,Self Employed,Regular,2024-12-23,Bronze,Website,1,597,2,111,150
C000118,Male,53,Married,Delhi City 2,Delhi,Low,486059.0,Salaried,Regular,2016-04-03,Bronze,Mobile App,0,738,5,100,34
C000119,Male,32,Married,Kerala City 3,Kerala,Medium,834007.0,Salaried,Value Seeker,2020-01-04,Bronze,Website,0,739,4,75,236
C000120,Female,27,Single,West Bengal City 2,West Bengal,Low,442431.0,Self Employed,Deal Hunter,2017-05-25,Silver,Mobile App,1,757,3,41,0
C000121,Male,45,Married,Rajasthan City 1,Rajasthan,Medium,961065.0,Homemaker,Deal Hunter,2018-10-25,Bronze,Website,0,562,2,109,31
C000122,Male,35,Single,Kerala City 1,Kerala,,,Homemaker,Value Seeker,2023-12-03,Gold,Website,1,718,5,6,17
C000123,Male,38,Single,Rajasthan City 2,Rajasthan,Medium,953301.0,Salaried,Regular,2022-06-11,Silver,Mobile App,0,807,3,59,19
C000124,Female,43,Divorced,Tamil Nadu City 1,Tamil Nadu,Medium,799571.0,Salaried,Regular,2021-11-04,Silver,Website,1,679,3,60,17
C000125,Female,32,Married,West Bengal City 1,West Bengal,Medium,1059472.0,Self Employed,Deal Hunter,2017-03-05,Gold,Physical Store,1,735,5,85,365
C000126,Male,48,Divorced,Karnataka City 1,Karnataka,Low,274206.0,Salaried,Value Seeker,2017-07-24,Platinum,Mobile App,1,726,3,49,73
C000127,Male,48,Single,Maharashtra City 1,Maharashtra,High,2131555.0,Salaried,Regular,2016-07-08,Platinum,Physical Store,1,718,2,17,3
C000128,Female,37,Married,Telangana City 1,Telangana,Medium,394019.0,Student,Deal Hunter,2017-10-13,Gold,Mobile App,1,757,5,53,126
C000129,Female,38,Single,Rajasthan City 3,Rajasthan,High,1813629.0,Salaried,Regular,2023-12-29,Gold,Website,1,745,1,113,0
C000130,Female,30,Married,Maharashtra City 3,Maharashtra,High,1952532.0,Homemaker,Regular,2016-12-05,Bronze,Website,1,594,2,9,38
C000131,Male,42,Single,Karnataka City 1,Karnataka,Medium,905343.0,Salaried,Deal Hunter,2022-11-08,Bronze,Mobile App,1,598,4,88,88
C000132,Female,34,Single,Telangana City 3,Telangana,High,1684112.0,Self Employed,Deal Hunter,2024-06-08,Bronze,Physical Store,1,801,1,88,149
C000133,Female,37,Married,Delhi City 3,Delhi,Low,2356163.4777895026,Salaried,Deal Hunter,2020-04-30,Bronze,Website,1,739,4,95,52
C000134,Female,36,Single,Tamil Nadu City 1,Tamil Nadu,Low,458330.0,Homemaker,Value Seeker,2016-05-19,Silver,Mobile App,0,800,1,98,57
C000135,Male,18,Single,Karnataka City 2,Karnataka,Low,385464.0,Self Employed,Value Seeker,2019-01-15,Silver,Website,0,786,4,7,52
C000136,Female,18,Married,Telangana City 2,Telangana,Low,235631.0,Salaried,Deal Hunter,2016-02-23,Silver,Physical Store,0,676,2,66,14
C000137,Male,44,Married,Maharashtra City 1,Maharashtra,Very High,2196623.0,Student,Regular,2021-06-16,Silver,Mobile App,0,679,3,51,1
C000138,Male,31,Married,Kerala City 2,Kerala,Medium,,Student,Value Seeker,2017-07-04,Bronze,Mobile App,0,756,1,69,112
C000139,Male,27,Married,Tamil Nadu City 3,Tamil Nadu,High,1265390.0,Self Employed,Deal Hunter,2020-04-26,Gold,Mobile App,1,719,1,95,0
C000140,Male,28,Married,Rajasthan City 3,Rajasthan,Medium,983042.0,Self Employed,Value Seeker,2022-03-14,Platinum,Mobile App,0,726,3,85,33
C000141,Female,36,Married,Karnataka City 2,Karnataka,Medium,5132888.004414982,Salaried,Regular,2023-09-02,Silver,Website,1,726,1,20,72
C000142,Other,22,Single,Gujarat City 2,Gujarat,Medium,749396.0,Homemaker,Deal Hunter,2016-02-10,Gold,Website,1,654,2,73,31
C000143,Male,39,Single,Karnataka City 3,Karnataka,Medium,747947.0,Salaried,Regular,2018-03-06,Silver,Mobile App,0,592,3,27,38
C000144,Female,27,Single,Delhi City 2,Delhi,Medium,628680.0,Salaried,Regular,2020-11-03,Gold,Website,1,773,3,26,0
C000145,Female,45,Single,Telangana City 3,Telangana,Medium,800513.0,Salaried,Deal Hunter,2020-11-15,Silver,Website,0,743,3,14,3
C000146,Female,34,Single,Maharashtra City 1,Maharashtra,Medium,806195.0,Homemaker,Premium,2017-11-24,Bronze,Mobile App,1,657,3,7,22
C000147,Female,39,Married,Tamil Nadu City 1,Tamil Nadu,Medium,538479.0,Salaried,Regular,2018-12-26,Bronze,Mobile App,0,598,2,3,61
C000148,Male,22,Married,Gujarat City 3,Gujarat,Medium,970704.0,Salaried,Deal Hunter,2016-01-17,Bronze,Mobile App,0,579,2,7,72
C000149,Male,42,Single,Karnataka City 1,Karnataka,Medium,645036.0,Salaried,Deal Hunter,2019-05-20,Silver,Website,1,613,2,93,0
C000150,Male,48,Single,Maharashtra City 2,Maharashtra,Medium,838598.0,Student,Value Seeker,2024-06-03,Silver,Website,1,647,3,53,0
C000151,Male,32,Single,Telangana City 2,Telangana,High,1601437.0,Salaried,Regular,2019-01-28,Silver,Physical Store,1,624,2,103,64
C000152,Male,41,Single,Karnataka City 3,Karnataka,Medium,876894.0,,Value Seeker,2024-04-07,Silver,Website,1,728,4,97,39
C000153,Female,40,Married,West Bengal City 1,West Bengal,Medium,1133202.0,Salaried,Value Seeker,2021-01-20,Bronze,Mobile App,1,707,2,93,163
C000154,Male,53,Single,Karnataka City 3,Karnataka,High,2359423.0,Self Employed,Value Seeker,2021-10-11,Bronze,Mobile App,0,693,1,22,40
C000155,Female,46,Married,Maharashtra City 2,Maharashtra,Medium,927296.0,Self Employed,Regular,2019-10-25,Bronze,Mobile App,0,713,3,95,114
C000156,Female,44,Single,Maharashtra City 3,Maharashtra,Medium,803741.0,Salaried,Value Seeker,2025-02-24,Silver,Physical Store,1,634,1,100,17
C000157,Female,45,Single,Rajasthan City 3,Rajasthan,,383486.0,Salaried,Deal Hunter,2019-08-17,Silver,Physical Store,1,677,2,93,56
C000158,Male,27,Married,Delhi City 2,Delhi,Medium,716497.0,,Regular,2023-02-13,Bronze,Mobile App,1,666,3,8,25
C000159,Male,22,Married,Karnataka City 1,Karnataka,Low,317629.0,Self Employed,Regular,2020-12-03,Gold,Website,0,710,4,28,26
C000160,Male,39,Single,Kerala City 3,Kerala,High,1842868.0,Retired,Regular,2019-09-26,Silver,Physical Store,1,642,2,46,0
C000161,Male,27,Single,Maharashtra City 3,Maharashtra,Low,420051.0,Retired,Value Seeker,2023-06-27,Bronze,Mobile App,1,651,5,108,44
C000162,Male,41,Single,Rajasthan City 1,Rajasthan,Medium,751866.0,Salaried,Deal Hunter,2021-03-29,Bronze,Mobile App,1,651,4,45,120
C000163,Male,33,Single,Uttar Pradesh City 3,Uttar Pradesh,Medium,615631.0,Self Employed,Deal Hunter,2019-06-28,Silver,Mobile App,1,677,5,70,19
C000164,Female,24,Single,Gujarat City 2,Gujarat,Low,490808.0,Student,Regular,2021-06-09,Bronze,Website,0,648,2,96,176
C000165,Male,51,Single,Karnataka City 1,Karnataka,Medium,811377.0,Salaried,Deal Hunter,2018-05-13,Bronze,Website,1,727,2,21,21
C000166,Female,28,Married,Tamil Nadu City 1,Tamil Nadu,Medium,1576931.0,Salaried,Deal Hunter,2023-08-07,Silver,Website,1,770,3,37,1
C000167,Female,56,Married,Karnataka City 3,Karnataka,High,1660503.0,Salaried,Regular,2022-07-19,Gold,Physical Store,1,739,5,78,81
C000168,Female,28,Married,Karnataka City 1,Karnataka,,816176.0,Self Employed,Value Seeker,2023-12-04,Bronze,Website,0,678,2,112,57
C000169,Female,36,Single,Tamil Nadu City 3,Tamil Nadu,Medium,638009.0,Self Employed,Value Seeker,2025-05-19,Silver,Physical Store,1,697,4,83,0
C000170,Female,42,Married,Karnataka City 1,Karnataka,Low,262486.0,Salaried,Deal Hunter,2017-10-27,Bronze,Mobile App,1,651,4,92,31
C000171,Female,57,Married,Delhi City 1,Delhi,High,1392476.0,Salaried,Regular,2025-03-12,Bronze,Mobile App,0,769,4,102,97
C000172,Female,37,Married,Uttar Pradesh City 3,Uttar Pradesh,Medium,1049158.0,Self Employed,Value Seeker,2025-05-31,Gold,Physical Store,1,661,5,21,1
C000173,Male,47,Married,Maharashtra City 2,Maharashtra,Medium,602550.0,Student,Value Seeker,2023-01-27,Gold,Mobile App,0,664,1,36,81
C000174,Female,25,Single,Karnataka City 3,Karnataka,Medium,813325.0,Salaried,Deal Hunter,2017-08-08,Silver,Mobile App,1,714,2,94,90
C000175,Female,47,Married,Karnataka City 3,Karnataka,Low,374038.0,Salaried,Regular,2024-02-12,Bronze,Website,1,721,3,42,38
C000176,Female,25,Single,Karnataka City 3,Karnataka,Medium,1002396.0,Salaried,Value Seeker,2024-06-02,Bronze,Mobile App,1,628,3,13,50
C000177,Female,41,Single,Tamil Nadu City 1,Tamil Nadu,High,1708555.0,,Premium,2024-07-22,Bronze,Website,1,606,1,100,138
C000178,Female,30,Married,Gujarat City 1,Gujarat,Very High,,Student,Deal Hunter,2017-06-09,Silver,Website,1,752,2,42,0
C000179,Male,32,Married,Maharashtra City 3,Maharashtra,Medium,1023100.0,Student,Value Seeker,2024-05-30,Bronze,Physical Store,0,715,3,19,42
C000180,Male,59,Married,Rajasthan City 3,Rajasthan,Medium,694727.0,Salaried,Regular,2016-08-14,Bronze,Mobile App,0,613,2,1,110
C000181,Male,35,Single,Delhi City 1,Delhi,High,1636997.0,Salaried,Regular,2024-04-28,Bronze,Website,1,850,4,88,74
C000182,Female,54,Single,Uttar Pradesh City 3,Uttar Pradesh,Medium,876952.0,Self Employed,Regular,2018-07-22,Silver,Mobile App,1,650,3,115,68
C000183,Male,32,Single,Maharashtra City 1,Maharashtra,Medium,779665.0,Salaried,Deal Hunter,2024-01-14,Silver,Website,1,620,2,4,11
C000184,Male,48,Married,West Bengal City 1,West Bengal,High,1047895.0,Self Employed,Regular,2024-07-29,Bronze,Website,1,766,3,84,99
C000185,Female,38,Single,Karnataka City 2,Karnataka,Medium,991830.0,Student,Regular,2022-07-09,Gold,Physical Store,1,753,2,75,34
C000186,Male,28,Single,Telangana City 3,Telangana,High,1720738.0,Salaried,Regular,2017-05-27,Silver,Physical Store,0,729,3,89,9
C000187,Female,51,Married,Gujarat City 2,Gujarat,Low,285664.0,,Value Seeker,2016-07-05,Silver,Mobile App,1,727,4,107,0
