Customer_ID,Age,Loyalty_Tier,Credit_Score,Tenure_Months,Last_Login_Days_Ago,Total_Orders,Total_Revenue,Avg_Order_Value,Total_Quantity,Recency_Days,Total_Tickets,Avg_Satisfaction,Escalation_Rate,Campaigns_Received,Campaign_Open_Rate,Campaign_Click_Rate,Campaign_Response_Rate,Total_Sessions,Avg_Pages_Viewed,Cart_Rate,Web_Purchase_Rate,Churn_Flag,Future_VIP_Flag,Customer_Lifetime_Value
C000016,33,Silver,666,7,38,8,147071.95,18383.99,21,365,0,3.0,0.0,2,0.5,0.0,0.0,8,7.62,0.625,0.375,1,1,195243.37
C000017,27,Bronze,636,95,66,4,151846.58,37961.64,12,365,0,3.0,0.0,3,0.0,0.0,0.0,8,6.88,0.5,0.25,0,1,178197.29
C000018,37,Silver,658,42,3,9,148004.31,16444.92,20,365,3,4.0,0.0,1,0.0,0.0,0.0,3,6.0,0.667,0.0,0,1,158742.01
C000019,42,Bronze,729,57,225,5,98029.06,19605.81,16,365,3,4.33,0.0,0,0.0,0.0,0.0,4,6.5,0.5,0.0,1,0,131984.35
C000020,41,Bronze,600,104,170,4,72142.89,18035.72,13,365,0,3.0,0.0,2,0.0,0.0,0.0,10,5.7,0.7,0.3,1,1,95556.68
C000021,25,Bronze,643,59,50,3,29144.76,9714.92,8,365,4,4.0,0.0,3,0.0,0.0,0.0,5,5.0,0.6,0.2,0,0,37098.37
C000022,59,Platinum,781,106,7,8,148423.32,18552.92,19,365,1,5.0,0.0,2,0.5,0.0,0.5,9,9.44,0.444,0.333,1,1,170400.2
C000023,38,Bronze,798,73,52,7,81372.65,11624.66,17,365,0,3.0,0.0,1,0.0,0.0,0.0,3,5.67,0.667,0.0,1,1,86140.84
C000024,36,Bronze,654,55,31,4,97871.96,24467.99,11,365,2,4.0,0.0,1,0.0,0.0,0.0,3,6.0,0.667,0.333,0,1,124997.79
C000025,31,Silver,579,72,0,3,11644.09,3881.36,8,365,4,4.0,0.25,2,1.0,0.0,0.0,13,7.77,0.538,0.308,0,0,15677.89
C000026,23,Silver,768,13,46,9,41343.43,4593.71,19,365,0,3.0,0.0,2,0.5,0.0,0.0,2,7.0,0.5,0.0,1,0,48922.95
C000027,47,Bronze,625,18,182,5,30320.89,6064.18,16,365,4,4.0,0.0,1,0.0,1.0,0.0,2,8.0,0.5,0.0,1,0,39854.16
C000028,36,Bronze,695,22,51,6,129131.26,21521.88,16,365,1,4.0,0.0,3,0.333,0.333,0.0,3,7.0,0.0,0.0,0,1,173842.72
C000029,56,Bronze,657,82,107,4,36407.34,9101.84,10,365,2,3.5,0.0,3,0.0,0.0,0.0,8,6.0,0.375,0.125,1,0,42198.77
C000030,31,Silver,708,61,150,10,259244.4,25924.44,26,365,0,3.0,0.0,2,0.0,0.0,0.0,5,8.6,0.8,0.4,0,1,285963.76
C000031,19,Bronze,652,74,34,10,284401.07,28440.11,26,365,2,2.0,0.5,1,0.0,0.0,0.0,4,6.0,0.25,0.25,0,1,357360.08
C000032,37,Gold,772,71,24,6,105201.83,17533.64,15,365,2,5.0,0.5,1,0.0,0.0,0.0,5,10.6,0.8,0.4,1,1,134927.95
C000033,50,Gold,698,25,111,7,183480.59,26211.51,22,365,4,3.75,0.0,2,0.0,0.5,0.0,10,7.8,0.9,0.3,1,1,218098.57
C000034,41,Gold,716,41,23,7,69462.61,9923.23,26,365,1,4.0,0.0,3,0.333,0.0,0.0,7,9.71,0.571,0.429,1,0,93430.46
C000035,66,Silver,668,85,0,5,43372.17,8674.43,11,365,0,3.0,0.0,3,0.333,0.0,0.333,9,6.78,0.556,0.222,0,0,56941.11
C000036,18,Silver,774,24,34,7,173135.4,24733.63,18,365,3,3.0,0.667,1,1.0,0.0,0.0,6,8.0,0.5,0.5,1,1,202057.48
C000037,29,Platinum,705,82,9,5,81585.06,16317.01,14,365,1,5.0,0.0,0,0.0,0.0,0.0,6,10.5,0.833,0.667,0,0,106344.15
C000038,30,Bronze,678,110,44,4,24502.44,6125.61,12,365,0,3.0,0.0,4,0.0,0.25,0.0,8,6.25,0.375,0.125,1,0,27410.22
C000039,41,Gold,649,99,0,8,59036.62,7379.58,21,365,2,2.5,0.5,1,1.0,1.0,0.0,4,9.25,0.25,0.5,0,0,65429.15
C000040,40,Bronze,606,101,18,6,166346.16,27724.36,14,365,6,3.17,0.333,4,0.0,0.25,0.0,9,5.44,0.556,0.333,0,1,214539.72
C000041,53,Gold,724,37,45,7,184893.81,26413.4,20,365,0,3.0,0.0,1,0.0,0.0,0.0,3,10.0,1.0,0.0,0,1,204177.5
C000042,34,Bronze,850,59,84,4,111107.62,27776.9,10,365,1,4.0,0.0,2,0.0,0.0,0.0,9,7.11,0.444,0.111,1,0,144842.86
C000043,39,Gold,764,62,65,9,203815.57,22646.17,22,365,0,3.0,0.0,1,1.0,1.0,1.0,6,8.83,0.667,0.5,0,1,259580.24
C000044,57,Gold,712,8,47,6,274546.65,45757.78,14,365,1,3.0,0.0,1,0.0,0.0,1.0,6,9.83,0.667,0.5,1,1,313266.16
C000045,35,Gold,619,88,80,6,106704.85,17784.14,16,365,2,4.0,0.0,2,0.0,0.5,0.0,5,8.8,0.4,0.4,1,0,139323.48
C000046,39,Silver,706,45,28,2,5026.46,2513.23,3,365,0,3.0,0.0,1,0.0,0.0,0.0,7,7.86,0.286,0.571,0,0,5635.55
C000047,42,Bronze,675,93,162,7,91272.54,13038.93,20,365,3,4.33,0.0,0,0.0,0.0,0.0,4,6.0,0.75,0.25,0,0,115286.33
C000048,26,Bronze,805,45,15,7,89764.52,12823.5,52,365,1,2.0,1.0,2,0.0,0.0,0.0,5,7.2,0.6,0.0,1,1,101209.48
C000049,22,Silver,682,113,19,2,39528.65,19764.32,7,365,0,3.0,0.0,0,0.0,0.0,0.0,4,6.25,0.5,0.5,0,0,47148.62
C000050,40,Silver,647,85,3,2,47214.38,23607.19,5,365,1,4.0,0.0,2,0.0,0.0,0.0,4,7.5,1.0,0.5,0,0,61567.89
C000051,31,Gold,706,70,0,7,480583.43,68654.78,97,365,1,5.0,0.0,2,0.0,0.0,0.0,6,8.5,0.667,0.333,1,1,562533.45
C000052,24,Gold,706,3,76,6,186417.94,31069.66,14,365,2,4.5,0.0,3,0.0,0.0,0.0,8,9.62,0.75,0.375,0,1,233129.95
C000053,40,Bronze,644,29,23,5,58741.08,11748.22,11,365,0,3.0,0.0,1,0.0,0.0,0.0,5,4.4,0.2,0.2,0,0,69247.17
C000054,29,Silver,848,96,22,7,112700.22,16100.03,16,365,2,3.0,0.0,2,0.5,0.0,0.0,4,6.75,0.5,0.25,1,1,128722.23
C000055,54,Gold,561,29,24,7,228198.52,32599.79,19,365,0,3.0,0.0,5,0.4,0.4,0.4,8,9.88,0.5,0.375,0,1,297062.53
C000056,22,Bronze,765,102,38,7,105605.58,15086.51,16,365,1,5.0,0.0,2,0.5,0.5,0.0,7,5.57,0.571,0.429,0,0,133617.91
C000057,46,Bronze,575,94,74,4,61716.76,15429.19,11,365,3,4.0,0.333,1,0.0,0.0,0.0,3,7.0,0.667,0.0,0,0,68567.66
C000058,28,Silver,733,18,52,7,450917.3,64416.76,63,365,0,3.0,0.0,1,0.0,0.0,1.0,3,6.33,0.333,0.333,0,1,587850.62
C000059,23,Bronze,701,35,31,8,178859.61,22357.45,24,365,1,4.0,0.0,1,1.0,0.0,0.0,8,7.62,0.375,0.125,0,1,189914.01
C000060,58,Bronze,530,83,63,6,42078.99,7013.16,16,365,1,4.0,0.0,5,0.2,0.0,0.0,6,6.0,0.333,0.167,1,0,49353.45
C000061,49,Bronze,625,103,166,7,105519.93,15074.28,14,365,2,3.5,0.0,2,0.0,0.0,0.0,5,6.8,0.4,0.2,1,0,136072.79
C000062,28,Silver,721,112,26,13,180290.21,13868.48,28,365,0,3.0,0.0,3,0.0,0.333,0.333,6,8.33,0.833,0.333,0,1,239326.66
C000063,37,Bronze,614,91,41,4,83779.64,20944.91,12,365,3,4.33,0.0,3,0.0,0.0,0.0,3,6.0,0.667,0.667,0,1,92605.56
C000064,45,Bronze,676,67,76,3,34931.59,11643.86,11,365,1,4.0,0.0,3,0.333,0.0,0.0,8,5.5,0.375,0.125,1,0,37559.99
C000065,38,Silver,843,86,2,8,66179.35,8272.42,18,365,2,5.0,0.0,2,0.5,0.0,0.0,7,6.71,0.429,0.143,0,0,81972.65
C000066,30,Bronze,597,99,35,4,55307.27,13826.82,12,365,1,3.0,0.0,3,0.0,0.0,0.0,5,5.4,0.2,0.4,1,0,62258.94
C000067,32,Bronze,590,95,106,7,109241.07,15605.87,25,365,1,5.0,0.0,2,0.5,0.0,0.0,5,5.2,0.2,0.2,0,0,122809.43
C000068,41,Bronze,538,17,58,4,128748.99,32187.25,15,365,1,3.0,0.0,4,0.25,0.25,0.25,6,4.5,0.667,0.333,0,1,138568.33
C000069,34,Platinum,835,39,0,8,131519.51,16439.94,23,365,4,4.5,0.0,2,0.5,0.0,0.0,6,10.5,0.5,0.167,0,1,156290.39
C000070,43,Gold,651,27,65,7,149987.6,21426.8,16,365,1,4.0,0.0,0,0.0,0.0,0.0,4,10.75,0.75,0.25,1,1,176501.08
C000071,26,Silver,734,60,77,4,20617.77,5154.44,9,365,2,4.0,0.5,2,0.0,0.0,0.0,7,7.43,0.571,0.571,0,0,23516.47
C000072,34,Bronze,698,34,45,5,178706.49,35741.3,15,365,4,3.25,0.0,1,0.0,0.0,0.0,4,7.75,0.5,0.25,1,0,237654.96
C000073,52,Gold,628,26,99,7,179754.23,25679.18,22,365,0,3.0,0.0,2,0.0,0.0,0.0,7,9.0,0.429,0.571,1,0,220623.06
C000074,18,Bronze,690,56,104,5,213162.02,42632.4,18,365,4,4.5,0.0,4,0.25,0.25,0.0,4,6.0,0.75,0.75,1,1,248187.16
C000075,26,Bronze,683,23,31,2,27514.58,13757.29,47,365,1,3.0,0.0,4,0.25,0.25,0.0,8,6.75,0.625,0.125,1,0,32665.1
C000076,47,Gold,765,6,0,6,32845.06,5474.18,13,365,1,3.0,0.0,2,0.0,0.0,0.0,8,7.25,0.5,0.25,0,0,41635.46
C000077,18,Bronze,783,28,43,6,115015.97,19169.33,14,365,0,3.0,0.0,2,0.5,0.0,0.0,8,5.75,0.25,0.125,0,1,141406.14
C000078,51,Bronze,627,35,92,8,150217.98,18777.25,25,365,0,3.0,0.0,3,0.0,0.0,0.333,6,7.17,0.0,0.167,0,1,161152.34
C000079,22,Silver,765,70,36,5,118408.66,23681.73,12,365,0,3.0,0.0,3,0.333,0.0,0.0,7,9.14,0.571,0.286,1,1,141946.59
C000080,32,Bronze,740,114,61,7,344743.32,49249.05,34,365,2,4.0,0.5,1,0.0,0.0,0.0,10,5.3,0.4,0.3,1,1,437644.48
C000081,24,Silver,612,27,28,6,98051.73,16341.96,19,365,1,5.0,0.0,3,0.0,0.0,0.0,6,8.83,0.167,0.333,0,1,107587.04
C000082,34,Silver,768,5,54,5,46969.11,9393.82,16,365,2,3.5,0.0,0,0.0,0.0,0.0,8,7.25,0.375,0.375,1,0,60650.18
C000083,40,Bronze,737,86,78,3,32596.15,10865.38,9,365,2,3.5,0.0,2,0.0,0.5,0.0,5,5.4,0.4,0.0,0,0,41204.71
C000084,48,Bronze,712,59,105,7,125186.3,17883.76,15,365,1,5.0,0.0,1,0.0,0.0,0.0,6,6.17,0.333,0.0,0,1,155289.02
C000085,28,Silver,651,112,0,2,67187.08,33593.54,4,365,3,4.67,0.0,3,0.0,0.0,0.0,5,7.0,1.0,0.2,0,0,79511.47
C000086,49,Gold,781,94,59,7,203469.45,29067.06,22,365,2,4.0,0.0,1,0.0,0.0,1.0,10,9.4,0.6,0.4,1,1,252018.52
C000087,38,Bronze,811,77,33,3,97935.66,32645.22,12,365,5,3.2,0.2,3,0.0,0.0,0.0,5,5.6,0.8,0.2,0,0,107422.76
C000088,37,Silver,500,103,34,8,78709.16,9838.64,21,365,3,3.33,0.0,2,0.0,0.0,0.0,5,6.8,0.2,0.2,1,1,85995.8
C000089,32,Silver,655,45,33,5,84071.4,16814.28,54,365,2,2.5,0.5,1,0.0,1.0,0.0,9,8.33,0.556,0.333,1,0,100526.62
C000090,33,Bronze,692,51,209,8,259537.33,32442.17,25,365,3,4.33,0.667,3,0.0,0.0,0.0,9,4.78,0.444,0.0,0,1,319346.84
C000091,62,Bronze,650,87,54,7,214301.39,30614.48,17,365,1,4.0,1.0,2,0.0,0.0,0.0,2,6.0,0.5,0.0,0,1,238539.16
C000092,57,Bronze,560,29,90,7,59660.16,8522.88,18,365,1,3.0,0.0,2,0.0,0.0,0.0,5,5.2,0.8,0.0,0,0,65492.43
C000093,44,Gold,763,22,94,6,47200.39,7866.73,16,365,1,4.0,0.0,1,0.0,0.0,0.0,4,10.0,0.75,0.25,1,0,60743.38
C000094,56,Bronze,653,43,70,5,78150.32,15630.06,17,365,1,5.0,0.0,1,1.0,0.0,0.0,6,5.83,0.5,0.167,1,0,85952.7
C000095,49,Bronze,686,90,47,9,122061.12,13562.35,67,365,2,3.5,0.0,1,0.0,0.0,0.0,4,4.75,0.5,0.25,0,1,147656.98
C000096,29,Silver,850,48,67,4,111539.38,27884.84,22,365,4,4.0,0.25,3,0.333,0.333,0.0,3,9.0,0.667,0.0,1,1,136044.77
C000097,26,Bronze,741,66,24,4,50389.02,12597.26,10,365,1,4.0,0.0,1,0.0,0.0,0.0,7,5.71,0.714,0.286,0,0,57304.76
C000098,40,Bronze,641,7,188,3,137562.91,45854.3,13,365,1,5.0,1.0,0,0.0,0.0,0.0,6,5.5,0.333,0.0,1,1,178707.52
C000099,48,Gold,662,95,91,5,75342.0,15068.4,12,365,1,3.0,1.0,1,1.0,1.0,0.0,6,8.33,1.0,0.333,1,0,86035.6
C000100,39,Bronze,670,2,35,8,146153.04,18269.13,24,365,0,3.0,0.0,2,0.0,0.0,0.0,5,7.0,0.6,0.2,0,1,161203.12
C000101,27,Silver,745,91,81,6,441979.66,73663.28,52,365,1,2.0,0.0,2,0.0,0.0,0.0,6,6.0,0.5,0.333,1,1,544935.59
C000102,30,Silver,666,111,59,5,86205.46,17241.09,14,365,1,5.0,0.0,2,0.5,0.5,0.0,3,7.33,0.667,0.0,1,0,102420.08
C000103,18,Platinum,798,120,0,8,231531.59,28941.45,26,365,1,4.0,1.0,2,1.0,0.0,0.0,7,10.0,0.857,0.429,0,1,304731.13
C000104,50,Platinum,729,42,0,9,106802.42,11866.94,27,365,0,3.0,0.0,2,0.5,0.5,0.0,4,9.0,1.0,0.25,0,1,143702.03
C000105,24,Gold,800,36,0,9,185994.35,20666.04,23,365,1,3.0,0.0,3,0.333,0.333,0.333,3,7.33,0.333,0.333,0,1,248322.97
C000106,47,Gold,649,120,20,4,56645.63,14161.41,12,365,2,4.0,0.0,1,0.0,0.0,0.0,5,8.0,0.6,0.4,0,0,67430.97
C000107,48,Bronze,664,7,55,6,105770.31,17628.38,14,365,3,4.33,0.0,2,0.0,0.0,0.0,6,7.67,0.667,0.167,0,0,117983.67
C000108,37,Bronze,570,75,34,6,85563.01,14260.5,20,365,2,3.5,0.5,1,0.0,0.0,0.0,4,6.0,0.5,0.25,1,0,97339.89
C000109,30,Bronze,550,79,35,8,278124.23,34765.53,26,365,1,3.0,1.0,1,1.0,0.0,0.0,8,5.25,0.5,0.375,0,1,293150.98
C000110,42,Silver,770,32,97,13,214039.08,16464.54,38,365,0,3.0,0.0,2,0.0,0.0,0.0,9,6.89,0.333,0.0,0,1,278423.6
C000111,28,Bronze,570,103,95,10,490918.56,49091.86,74,365,0,3.0,0.0,1,0.0,0.0,0.0,4,4.75,0.0,0.0,1,1,591900.04
C000112,34,Bronze,580,114,30,7,75310.1,10758.59,14,365,5,4.6,0.0,4,0.5,0.75,0.0,3,4.33,0.333,0.0,0,1,99580.4
C000113,65,Bronze,686,95,42,6,107140.8,17856.8,18,365,1,2.0,0.0,1,0.0,0.0,0.0,2,5.0,0.0,0.0,0,1,144399.28
C000114,42,Bronze,622,55,72,7,89021.01,12717.29,26,365,4,3.5,0.0,0,0.0,0.0,0.0,6,4.83,0.667,0.333,1,0,113225.92
C000115,36,Silver,762,67,8,11,281811.74,25619.25,22,365,0,3.0,0.0,1,0.0,0.0,0.0,10,7.2,0.5,0.5,0,1,369060.76
C000116,32,Silver,711,19,40,7,62684.06,8954.87,20,365,3,3.67,0.0,0,0.0,0.0,0.0,5,6.4,0.6,0.0,1,0,79257.92
C000117,36,Bronze,597,111,150,8,142143.54,17767.94,17,365,5,4.6,0.0,1,0.0,0.0,0.0,4,5.5,0.5,0.0,1,1,186118.78
C000118,53,Bronze,738,100,34,2,26760.8,13380.4,5,365,0,3.0,0.0,2,0.0,0.0,0.0,8,7.5,0.75,0.25,0,0,34049.77
C000119,32,Bronze,739,75,236,11,154717.94,14065.27,26,365,4,3.25,0.25,3,0.0,0.0,0.0,5,6.0,0.6,0.2,1,1,168120.26
C000120,27,Silver,757,41,0,10,250718.67,25071.87,27,365,2,5.0,0.5,2,0.5,0.5,0.5,3,6.67,0.667,0.333,0,1,336153.15
C000121,45,Bronze,562,109,31,2,7020.46,3510.23,5,365,3,4.33,0.333,3,0.333,0.0,0.333,5,6.4,0.6,0.4,0,0,8166.51
C000122,35,Gold,718,6,17,1,3306.83,3306.83,2,365,2,4.0,0.5,1,1.0,0.0,0.0,7,10.0,0.429,0.429,0,0,3766.47
C000123,38,Silver,807,59,19,5,51905.62,10381.12,12,365,2,5.0,0.5,0,0.0,0.0,0.0,4,5.5,0.5,0.25,1,0,69486.47
C000124,43,Silver,679,60,17,3,35984.63,11994.88,10,365,1,3.0,0.0,1,0.0,0.0,0.0,6,6.5,0.0,0.333,0,0,42143.97
C000125,32,Gold,735,85,365,2,31018.56,15509.28,6,365,2,4.0,0.0,3,0.0,0.333,0.0,6,10.67,0.667,0.167,1,0,33609.26
C000126,48,Platinum,726,49,73,7,116012.04,16573.15,18,365,1,3.0,0.0,4,0.25,0.0,0.25,8,10.62,0.75,0.25,0,1,154161.53
C000127,48,Platinum,718,17,3,3,35516.5,11838.83,9,365,3,4.0,0.0,1,1.0,0.0,0.0,5,8.6,0.4,0.8,0,0,42830.82
C000128,37,Gold,757,53,126,12,167379.62,13948.3,40,365,3,3.67,0.0,2,0.5,0.0,0.0,5,6.4,0.6,0.4,1,1,183273.15
C000129,38,Gold,745,113,0,5,141328.48,28265.7,11,365,3,4.0,0.333,1,0.0,0.0,0.0,7,7.86,0.857,0.429,0,1,149264.39
C000130,30,Bronze,594,9,38,6,71634.51,11939.08,11,365,2,3.5,0.0,2,0.0,0.0,0.0,7,5.14,0.429,0.286,1,0,95757.99
C000131,42,Bronze,598,88,88,6,136107.41,22684.57,61,365,2,4.0,0.0,1,0.0,0.0,0.0,12,6.0,0.333,0.25,1,1,150011.72
C000132,34,Bronze,801,88,149,2,31251.24,15625.62,3,365,2,3.5,0.5,2,0.0,0.0,0.0,9,6.67,0.444,0.0,1,0,35309.39
C000133,37,Bronze,739,95,52,11,491044.8,44640.44,40,365,0,3.0,0.0,4,0.0,0.25,0.25,8,7.0,0.375,0.375,1,1,558492.34
C000134,36,Silver,800,98,57,5,73284.4,14656.88,14,365,2,4.5,0.0,2,0.0,0.0,0.5,7,7.86,0.714,0.571,0,0,85869.44
C000135,18,Silver,786,7,52,7,190362.93,27194.7,56,365,1,4.0,1.0,5,0.0,0.0,0.0,9,7.22,0.778,0.444,0,1,204587.61
C000136,18,Silver,676,66,14,7,88264.79,12609.26,18,365,1,5.0,0.0,4,0.0,0.0,0.0,7,7.57,0.714,0.429,0,1,115407.66
C000137,44,Silver,679,51,1,5,54670.07,10934.01,19,365,3,4.0,0.333,2,0.5,0.5,0.0,2,9.5,0.5,0.0,0,0,66540.82
C000138,31,Bronze,756,69,112,7,118705.88,16957.98,20,365,5,3.2,0.2,2,0.0,0.0,0.0,13,5.46,0.462,0.154,1,0,129000.0
C000139,27,Gold,719,95,0,7,117659.31,16808.47,19,365,0,3.0,0.0,2,0.0,0.5,0.0,4,9.75,0.75,0.75,1,0,126297.31
C000140,28,Platinum,726,85,33,8,261116.51,32639.56,50,365,5,4.2,0.0,2,0.5,0.5,0.5,7,11.43,0.714,0.714,0,1,281887.51
C000141,36,Silver,726,20,72,1,1664.87,1664.87,3,365,2,2.5,0.0,2,0.0,0.0,0.0,7,7.29,0.714,0.143,0,0,1856.57
C000142,22,Gold,654,73,31,5,18704.17,3740.83,12,365,1,4.0,0.0,2,0.0,0.0,0.0,10,10.3,0.8,0.3,0,0,22545.78
C000143,39,Silver,592,27,38,5,117762.34,23552.47,17,365,0,3.0,0.0,4,0.25,0.25,0.0,6,6.83,1.0,0.5,1,1,139849.56
C000144,27,Gold,773,26,0,3,19029.39,6343.13,5,365,1,5.0,0.0,1,1.0,0.0,0.0,5,8.6,0.8,0.6,0,0,24068.25
C000145,45,Silver,743,14,3,10,104271.98,10427.2,21,365,0,3.0,0.0,1,1.0,0.0,1.0,6,8.17,0.333,0.0,1,0,116835.19
C000146,34,Bronze,657,7,22,7,109235.85,15605.12,17,365,2,4.5,0.0,5,0.2,0.0,0.0,8,6.5,0.5,0.0,0,0,140819.97
C000147,39,Bronze,598,3,61,6,137091.57,22848.6,40,365,1,4.0,0.0,4,0.0,0.0,0.0,6,6.33,0.667,0.0,0,1,182334.61
C000148,22,Bronze,579,7,72,4,184747.54,46186.88,10,365,1,5.0,0.0,0,0.0,0.0,0.0,5,5.8,0.4,0.0,1,1,236664.23
C000149,42,Silver,613,93,0,10,300686.86,30068.69,23,365,2,3.0,0.0,1,0.0,0.0,0.0,6,7.5,0.5,0.5,0,1,347703.61
C000150,48,Silver,647,53,0,3,117975.39,39325.13,7,365,3,3.67,0.0,3,0.0,0.0,0.0,7,7.14,0.857,0.429,1,1,159244.45
C000151,32,Silver,624,103,64,4,183308.17,45827.04,13,365,0,3.0,0.0,3,0.0,0.0,0.333,4,7.75,0.5,0.0,1,1,225863.58
C000152,41,Silver,728,97,39,5,90717.74,18143.55,12,365,1,4.0,0.0,1,0.0,0.0,0.0,7,8.0,0.571,0.0,0,0,108124.33
C000153,40,Bronze,707,93,163,3,5833.65,1944.55,5,365,1,5.0,0.0,2,0.0,0.0,0.0,9,8.22,0.556,0.222,1,0,7406.0
C000154,53,Bronze,693,22,40,4,81696.77,20424.19,12,365,0,3.0,0.0,0,0.0,0.0,0.0,7,4.71,0.429,0.429,0,1,108571.34
C000155,46,Bronze,713,95,114,3,46035.09,15345.03,7,365,1,5.0,0.0,1,1.0,0.0,0.0,3,4.0,0.667,0.0,1,0,60525.25
C000156,44,Silver,634,100,17,7,162119.25,23159.89,20,365,3,3.67,0.333,0,0.0,0.0,0.0,5,8.4,0.8,0.0,0,1,186409.89
C000157,45,Silver,677,93,56,5,165394.15,33078.83,15,365,1,3.0,1.0,2,0.5,0.0,0.0,6,6.67,0.667,0.0,0,1,218704.25
C000158,27,Bronze,666,8,25,7,15292.53,2184.65,21,365,2,5.0,0.0,1,0.0,0.0,0.0,9,5.78,0.222,0.111,0,0,20095.4
C000159,22,Gold,710,28,26,6,85346.98,14224.5,13,365,3,4.0,0.0,3,0.333,0.0,0.0,3,11.0,0.667,0.667,1,1,95878.86
C000160,39,Silver,642,46,0,8,90661.72,11332.71,22,365,1,3.0,0.0,3,0.333,0.333,0.0,8,7.25,0.625,0.5,0,0,107028.09
C000161,27,Bronze,651,108,44,8,261065.33,32633.17,23,365,3,4.0,0.0,1,0.0,0.0,0.0,7,7.14,0.143,0.571,0,1,293104.51
C000162,41,Bronze,651,45,120,9,345391.55,38376.84,26,365,1,4.0,1.0,3,0.667,0.333,0.0,5,7.0,0.6,0.2,1,1,393042.61
C000163,33,Silver,677,70,19,8,281627.32,35203.42,29,365,2,4.0,0.5,2,0.0,0.0,0.0,7,6.14,0.286,0.286,1,1,299281.63
C000164,24,Bronze,648,96,176,5,178658.95,35731.79,16,365,2,3.0,0.5,1,0.0,0.0,0.0,5,5.8,0.4,0.2,1,1,200145.27
C000165,51,Bronze,727,21,21,6,111058.55,18509.76,14,365,2,4.0,0.0,2,0.0,0.5,0.0,6,5.33,0.167,0.5,0,1,121190.39
C000166,28,Silver,770,37,1,6,89470.37,14911.73,13,365,2,3.5,0.0,0,0.0,0.0,0.0,7,7.0,0.857,0.286,0,0,98934.28
C000167,56,Gold,739,78,81,7,167690.47,23955.78,14,365,4,4.0,0.5,2,0.0,0.0,0.0,5,9.0,0.4,0.2,0,1,209810.94
C000168,28,Bronze,678,112,57,5,26708.21,5341.64,15,365,0,3.0,0.0,4,0.0,0.0,0.0,5,6.4,0.6,0.2,1,0,34797.0
C000169,36,Silver,697,83,0,5,71569.6,14313.92,16,365,1,4.0,0.0,2,0.0,0.0,0.0,7,7.0,0.429,0.429,0,0,92530.78
C000170,42,Bronze,651,92,31,5,166231.9,33246.38,20,365,0,3.0,0.0,6,0.167,0.167,0.0,6,4.67,0.333,0.0,1,0,199406.65
