"Session_ID","Customer_ID","Pages_Viewed","Session_Duration","Device_Type","Traffic_Source","Age","Annual_Income","Loyalty_Tier","App_User_Flag","Tenure_Months","Total_Orders","Total_Revenue","Avg_Order_Value","Recency_Days","Campaign_Response_Rate","Web_Purchase_Rate","Purchase_After_Cart"
"WEB00001715","C000530",9,8.2,"Android","Social",28,343373.0,"Gold",1,6,4,60439.03,15109.76,365,0.0,0.333,0
"WEB00000977","C000532",8,10.6,"Android","Organic",36,406740.0,"Gold",1,26,3,37833.06,12611.02,365,0.0,0.286,0
"WEB00000080","C000580",6,3.7,"Android","Social",47,1102884.0,"Bronze",0,2,5,91065.06,18213.01,365,0.0,0.286,0
"WEB00002876","C000676",2,4.7,"Desktop","Paid Search",55,2888985.0,"Bronze",1,55,7,96038.3,13719.76,365,0.0,0.2,0
"WEB00001048","C000676",4,13.4,"Android","Paid Search",55,2888985.0,"Bronze",1,55,7,96038.3,13719.76,365,0.0,0.2,1
"WEB00003383","C000700",5,21.4,"Android","Paid Search",47,1252232.0,"Silver",1,72,7,220389.01,31484.14,365,0.0,0.364,1
"WEB00002881","C000707",5,3.6,"Android","Direct",32,2034816.0,"Silver",1,110,3,23418.53,7806.18,365,0.0,0.375,1
"WEB00003386","C000711",9,7.6,"iOS","Paid Search",18,3161005.519236556,"Bronze",0,84,8,99222.57,12402.82,365,0.0,0.167,0
"WEB00003597","C000727",4,12.6,"Tablet","Paid Search",31,324381.0,"Bronze",1,34,6,96147.1,16024.52,365,0.0,0.182,0
"WEB00003705","C000739",4,19.2,"Android","Direct",28,2323542.0,"Platinum",0,15,6,42893.2,7148.87,365,0.0,0.286,0
"WEB00002868","C000785",6,29.9,"Android","Paid Search",42,310165.0,"Silver",0,18,3,139457.14,46485.71,365,0.0,0.4,0
"WEB00001296","C000794",6,6.0,"Desktop","Organic",35,234410.0,"Bronze",0,56,5,125780.5,25156.1,365,0.0,0.091,1
"WEB00001728","C000832",7,2.3,"Desktop","Organic",25,559031.0,"Bronze",1,5,3,10084.68,3361.56,365,0.0,0.0,0
"WEB00002263","C000853",5,9.0,"Android","Referral",49,1032465.0,"Bronze",0,62,4,27219.93,6804.98,365,0.0,0.167,0
"WEB00000055","C000870",10,8.3,"Desktop","Referral",27,1512192.0,"Gold",0,11,9,45734.22,5081.58,365,0.0,0.462,0
"WEB00003587","C000889",10,3.2,"iOS","Organic",39,820622.0,"Silver",0,97,3,2974.93,991.64,365,0.0,0.286,1
"WEB00001279","C000893",12,20.1,"iOS","Social",56,692121.0,"Bronze",0,5,5,85347.25,17069.45,365,0.0,0.5,1
"WEB00003491","C000957",5,5.1,"Android","Organic",55,2042948.0,"Silver",1,69,4,98938.29,24734.57,365,0.0,0.25,0
"WEB00001373","C001008",9,11.7,"Desktop","Social",37,1782920.0,"Bronze",0,96,8,77838.47,9729.81,365,0.0,0.25,0
"WEB00002319","C001022",8,20.9,"Android","Organic",58,300430.0,"Gold",0,28,8,265491.63,33186.45,365,0.0,0.571,1
"WEB00001275","C001053",10,12.9,"Android","Social",44,856727.0,"Gold",1,98,5,47306.99,9461.4,365,0.5,0.25,0
"WEB00000635","C001063",15,16.1,"iOS","Paid Search",38,714444.0,"Platinum",1,104,3,89276.86,29758.95,365,0.0,0.5,0
"WEB00001045","C001066",2,20.2,"Desktop","Referral",42,713841.0,"Silver",1,46,6,94373.24,15728.87,365,0.0,0.1,0
"WEB00002117","C001076",8,6.2,"Desktop","Organic",46,618352.0,"Silver",1,41,3,100586.77,33528.92,365,0.0,0.125,1
"WEB00001177","C001168",3,3.9,"Desktop","Paid Search",41,928373.0,"Bronze",1,5,4,55932.33,13983.08,365,0.0,0.0,0
"WEB00000806","C001170",4,7.1,"Android","Organic",18,309240.0,"Bronze",0,54,3,5385.05,1795.02,365,0.0,0.125,1
"WEB00000723","C001184",9,10.3,"Android","Organic",43,1261141.0,"Bronze",0,63,8,118584.18,14823.02,365,0.0,0.273,1
"WEB00001033","C001205",9,4.3,"Android","Referral",42,2297854.0,"Bronze",0,26,7,111347.47,15906.78,365,0.0,0.167,0
"WEB00003413","C001238",8,9.0,"Android","Paid Search",48,330405.0,"Bronze",0,120,7,120624.04,17232.01,365,0.0,0.167,1
"WEB00001111","C001268",11,5.1,"Android","Direct",26,834378.0,"Gold",1,75,2,80681.26,40340.63,365,0.0,0.25,0
"WEB00002191","C001382",8,6.1,"iOS","Paid Search",39,263651.0,"Bronze",0,8,5,346667.87,69333.57,365,0.0,1.0,1
"WEB00001886","C001385",8,8.9,"Desktop","Organic",46,864029.0,"Silver",1,99,3,4347.06,1449.02,365,0.0,0.1,0
"WEB00000708","C001385",7,7.5,"iOS","Direct",46,864029.0,"Silver",1,99,3,4347.06,1449.02,365,0.0,0.1,0
"WEB00003385","C001481",5,5.2,"Desktop","Social",35,757690.0,"Bronze",0,6,5,147826.82,29565.36,365,0.0,0.273,0
"WEB00003425","C001482",5,6.3,"iOS","Paid Search",24,573751.0,"Bronze",1,66,10,98493.97,9849.4,365,0.0,0.3,0
"WEB00003670","C001503",4,9.5,"Android","Organic",26,2642532.0,"Bronze",1,98,4,108289.33,27072.33,365,0.0,0.167,1
"WEB00003421","C001516",6,8.4,"Android","Paid Search",36,300801.0,"Silver",0,77,3,1806.76,602.25,365,0.0,0.25,0
"WEB00002181","C001543",2,9.7,"Desktop","Social",44,312550.0,"Bronze",1,79,8,130892.58,16361.57,365,0.0,0.4,0
"WEB00001541","C001563",12,18.9,"iOS","Organic",21,713101.0,"Bronze",1,96,5,84537.82,16907.56,365,0.0,0.0,0
"WEB00003033","C001622",7,8.6,"Android","Paid Search",50,1008440.0,"Bronze",1,54,4,185329.89,46332.47,365,0.0,0.0,0
"WEB00001434","C001622",6,4.0,"Android","Paid Search",50,1008440.0,"Bronze",1,54,4,185329.89,46332.47,365,0.0,0.0,0
"WEB00000527","C001725",6,0.9,"Android","Direct",59,691319.0,"Bronze",0,46,4,13733.74,3433.44,365,0.0,0.167,0
"WEB00002843","C001734",6,7.3,"Tablet","Direct",38,414328.0,"Gold",1,78,6,134637.82,22439.64,365,0.0,0.25,1
"WEB00003452","C001783",5,19.0,"Tablet","Paid Search",49,332186.0,"Silver",0,50,5,151246.87,30249.37,365,0.0,0.357,0
"WEB00002615","C001828",7,8.3,"Android","Organic",44,423081.0,"Silver",0,1,6,59122.28,9853.71,365,0.0,0.333,1
"WEB00000828","C001832",9,15.1,"iOS","Organic",23,1801519.0,"Gold",1,112,10,171736.9,17173.69,365,0.0,0.143,1
"WEB00002838","C001878",6,7.5,"Android","Social",43,1086018.0,"Bronze",1,53,4,11626.65,2906.66,365,0.0,0.4,1
"WEB00001637","C001915",9,9.2,"Desktop","Direct",49,2225755.0,"Bronze",0,79,3,312537.83,104179.28,365,0.0,0.0,0
"WEB00002613","C001920",5,0.5,"Desktop","Paid Search",40,894660.0,"Bronze",0,7,8,110524.66,13815.58,365,0.0,0.143,1
"WEB00003288","C001971",3,3.2,"Android","Direct",24,787656.0,"Bronze",1,39,5,119998.48,23999.7,365,0.0,0.0,0
"WEB00001318","C002003",9,9.6,"Android","Direct",30,782547.0,"Gold",1,108,10,234781.84,23478.18,365,0.0,0.25,1
"WEB00001382","C002056",8,11.8,"iOS","Paid Search",35,2324346.0,"Bronze",0,119,4,50346.52,12586.63,365,0.0,0.154,0
"WEB00002169","C002082",9,4.5,"Tablet","Organic",26,1163469.0,"Bronze",1,76,12,203059.64,16921.64,365,0.0,0.0,0
"WEB00001288","C002122",5,7.5,"Desktop","Referral",42,0.0,"Bronze",0,46,9,81563.77,9062.64,365,0.0,0.667,1
"WEB00002890","C002146",9,20.6,"iOS","Organic",35,225399.0,"Silver",1,109,6,137520.14,22920.02,365,0.0,0.333,1
"WEB00002867","C002180",17,5.8,"iOS","Direct",32,1274575.0,"Platinum",1,44,4,57472.04,14368.01,365,0.333,0.75,1
"WEB00003275","C002202",7,5.4,"iOS","Direct",36,791465.0,"Platinum",1,111,10,226618.63,22661.86,365,0.5,0.375,0
"WEB00002436","C002287",13,6.1,"Android","Organic",54,489121.0,"Gold",1,81,9,197588.78,21954.31,365,0.0,0.222,0
"WEB00002203","C002306",5,0.8,"iOS","Direct",49,1717239.0,"Bronze",1,51,2,16310.87,8155.44,365,0.0,0.0,0
"WEB00003118","C002321",13,6.8,"iOS","Direct",26,3039165.0,"Gold",0,102,7,144849.68,20692.81,365,0.0,0.222,0
"WEB00003197","C002379",8,11.4,"iOS","Direct",28,412804.0,"Silver",1,118,4,31106.62,7776.66,365,0.333,0.333,0
"WEB00002143","C002380",7,4.2,"Desktop","Social",28,256068.0,"Bronze",0,56,7,351263.53,50180.5,365,0.0,0.4,0
"WEB00000254","C002388",6,14.1,"Desktop","Organic",55,1094547.0,"Silver",1,55,8,169929.5,21241.19,365,0.0,0.2,0
"WEB00003515","C002405",4,8.0,"Android","Paid Search",33,545763.0,"Bronze",0,7,6,134610.91,22435.15,365,0.0,0.083,0
"WEB00003451","C002416",7,15.5,"Android","Referral",34,0.0,"Gold",1,45,7,331006.26,47286.61,365,0.0,0.25,0
"WEB00003631","C002519",5,7.2,"Desktop","Direct",30,989320.0,"Bronze",1,110,3,50854.15,16951.38,365,0.0,0.0,0
"WEB00002315","C002531",9,1.4,"iOS","Direct",41,237499.0,"Bronze",0,96,10,233766.06,23376.61,365,0.0,0.0,0
"WEB00000908","C002552",13,4.8,"Android","Organic",37,745720.0,"Silver",1,61,9,163483.57,18164.84,365,0.333,0.2,0
"WEB00000533","C002552",11,4.0,"iOS","Social",37,745720.0,"Silver",1,61,9,163483.57,18164.84,365,0.333,0.2,0
"WEB00001218","C002557",9,6.0,"Android","Direct",28,743311.0,"Bronze",0,12,6,97285.92,16214.32,365,0.167,0.222,0
"WEB00003148","C002559",7,5.5,"iOS","Referral",20,834374.0,"Gold",1,37,6,266118.49,44353.08,365,0.0,0.75,0
"WEB00002447","C002561",6,21.0,"iOS","Organic",48,1439698.0,"Silver",0,79,7,146613.2,20944.74,365,1.0,0.5,1
"WEB00002370","C002566",6,4.9,"Android","Organic",43,969191.0,"Bronze",0,36,1,25604.98,25604.98,365,0.0,0.167,1
"WEB00000988","C002575",6,14.7,"Desktop","Direct",36,312913.0,"Gold",1,99,7,202401.72,28914.53,365,1.0,0.625,1
"WEB00000940","C002577",14,5.7,"Desktop","Direct",38,306957.0,"Gold",0,116,8,90222.94,11277.87,365,0.0,0.375,0
"WEB00003433","C002600",8,1.2,"Tablet","Paid Search",35,1163925.0,"Silver",1,15,8,165961.67,20745.21,365,0.0,0.0,0
"WEB00000706","C002604",6,2.4,"Desktop","Referral",42,815459.0,"Bronze",0,36,6,39105.93,6517.66,365,0.333,0.125,0
"WEB00001500","C002606",5,17.8,"Android","Social",28,717495.0,"Silver",1,20,7,174080.39,24868.63,365,0.0,0.333,0
"WEB00001079","C002615",10,3.2,"Android","Referral",19,4048417.0,"Bronze",0,104,3,78733.72,26244.57,365,0.0,0.0,0
"WEB00003672","C002617",11,4.2,"Android","Direct",37,1252520.0,"Platinum",1,117,9,247143.37,27460.37,365,0.0,0.429,1
"WEB00002693","C002622",3,7.3,"Tablet","Organic",31,170747.0,"Bronze",0,9,8,102271.65,12783.96,365,0.0,0.222,0
"WEB00000085","C002637",7,1.1,"iOS","Direct",40,434355.0,"Bronze",0,86,5,85316.63,17063.33,365,0.0,0.0,0
"WEB00002522","C002669",10,2.4,"iOS","Paid Search",37,1719191.0,"Silver",1,108,10,321506.38,32150.64,365,0.0,0.0,0
"WEB00000916","C002678",8,7.2,"Android","Organic",37,1808200.0,"Bronze",1,18,4,46400.73,11600.18,365,0.0,0.0,0
"WEB00001952","C002689",9,8.7,"Android","Referral",35,1132211.0,"Gold",1,6,4,126712.44,31678.11,365,0.0,0.4,0
"WEB00001056","C002752",6,7.9,"Android","Social",30,697544.0,"Bronze",1,61,8,40103.04,5012.88,365,0.0,0.6,1
"WEB00000571","C002786",8,8.3,"Android","Social",30,717244.0,"Silver",1,45,7,203264.3,29037.76,365,0.0,0.111,0
"WEB00000922","C002854",8,3.7,"iOS","Organic",35,1212341.0,"Silver",0,98,5,65905.61,13181.12,365,0.0,0.273,0
"WEB00001305","C002859",4,10.7,"Android","Organic",32,418698.0,"Bronze",0,35,8,222953.02,27869.13,365,0.0,0.4,0
"WEB00001188","C002876",8,5.4,"iOS","Direct",35,1140782.0,"Bronze",0,53,5,218745.86,43749.17,365,0.0,0.0,0
"WEB00001822","C002892",4,10.8,"Android","Organic",40,4076256.0,"Bronze",1,76,9,112885.5,12542.83,365,0.0,0.5,1
"WEB00000352","C002925",3,14.9,"iOS","Organic",27,1620053.0,"Silver",0,80,2,2356.67,1178.34,365,0.0,0.4,0
"WEB00002065","C002931",7,4.3,"Android","Organic",30,298934.0,"Bronze",0,43,11,266022.15,24183.83,365,0.0,0.143,0
"WEB00002787","C002934",6,3.0,"Android","Organic",32,272060.0,"Bronze",1,41,5,84097.09,16819.42,365,0.0,0.222,1
"WEB00001041","C002958",6,4.0,"iOS","Direct",35,306778.0,"Gold",0,105,6,89601.34,14933.56,365,0.0,0.455,0
"WEB00003459","C003016",9,1.1,"Android","Paid Search",42,701607.0,"Bronze",0,34,13,170646.76,13126.67,365,0.0,0.667,0
"WEB00002133","C003053",13,7.6,"Android","Direct",28,755388.0,"Gold",1,19,6,176694.37,29449.06,365,0.0,0.5,1
"WEB00003680","C003060",6,1.4,"Desktop","Organic",27,2316437.0,"Bronze",0,62,8,145336.51,18167.06,365,0.0,0.0,0
"WEB00003494","C003086",11,10.0,"Android","Direct",36,574370.0,"Bronze",0,32,4,40122.1,10030.52,365,0.0,0.167,1
"WEB00000880","C003111",6,2.7,"Android","Organic",42,669196.0,"Bronze",1,13,9,274703.23,30522.58,365,0.0,0.333,0
"WEB00001876","C003118",5,1.6,"Android","Social",52,632343.0,"Silver",1,39,7,223774.0,31967.71,365,0.0,0.2,0
"WEB00002103","C003160",7,10.9,"iOS","Direct",39,1070200.0,"Bronze",0,69,4,78115.66,19528.92,365,0.0,0.111,0
"WEB00000013","C003169",7,7.3,"Android","Social",22,492399.0,"Bronze",0,8,4,74730.69,18682.67,365,0.0,0.167,1
"WEB00001942","C003277",7,9.2,"Android","Organic",38,1029090.0,"Silver",0,62,5,33886.17,6777.23,365,0.0,0.429,1
"WEB00003049","C003309",9,6.4,"Desktop","Direct",32,649676.0,"Bronze",0,61,7,127471.35,18210.19,365,0.0,0.167,0
"WEB00001815","C003338",5,10.7,"iOS","Organic",28,532656.0,"Bronze",0,26,7,131993.45,18856.21,365,0.0,0.0,0
"WEB00001220","C003342",11,8.7,"Android","Organic",40,0.0,"Gold",0,119,8,285409.41,35676.18,365,0.0,0.286,0
"WEB00002734","C003347",5,3.8,"Desktop","Organic",39,2048707.0,"Bronze",1,53,2,6362.36,3181.18,365,0.0,0.6,1
"WEB00001951","C003396",3,3.4,"iOS","Organic",45,858342.0,"Bronze",0,38,5,34518.7,6903.74,365,0.0,0.143,0
"WEB00002316","C003424",6,4.4,"Desktop","Referral",36,1064757.0,"Bronze",0,63,7,112763.19,16109.03,365,0.0,0.0,0
"WEB00003094","C003441",3,6.2,"Android","Organic",29,649134.0,"Bronze",1,113,9,81979.81,9108.87,365,0.0,0.5,1
"WEB00002066","C003465",10,5.1,"Tablet","Referral",21,322191.0,"Gold",1,1,6,97093.39,16182.23,365,0.0,0.0,0
"WEB00000742","C003467",6,3.7,"Desktop","Direct",53,120000.0,"Bronze",0,10,8,160935.61,20116.95,365,0.0,0.0,0
"WEB00001947","C003478",11,15.2,"iOS","Paid Search",35,5399827.433327257,"Gold",1,66,6,198061.34,33010.22,365,0.0,0.167,0
"WEB00000380","C003484",9,8.4,"Desktop","Organic",39,1798370.0,"Bronze",0,116,7,114588.81,16369.83,365,0.0,0.2,0
"WEB00001660","C003493",7,1.6,"Android","Paid Search",31,1837155.0,"Silver",0,59,10,253422.87,25342.29,365,0.0,0.231,0
"WEB00000007","C003493",7,6.7,"Android","Organic",31,1837155.0,"Silver",0,59,10,253422.87,25342.29,365,0.0,0.231,1
"WEB00000107","C003529",11,3.8,"Android","Social",34,2149707.0,"Gold",1,78,4,191494.1,47873.52,365,0.0,0.286,1
"WEB00001556","C003557",5,5.3,"Android","Referral",51,245978.0,"Bronze",0,104,4,50662.67,12665.67,365,0.5,0.167,0
"WEB00003355","C003601",6,15.2,"iOS","Organic",35,959804.0,"Bronze",0,59,5,75326.26,15065.25,365,0.0,0.0,0
"WEB00003927","C003603",6,14.8,"Desktop","Paid Search",52,842222.0,"Bronze",1,80,4,18509.16,4627.29,365,0.0,0.083,0
"WEB00002330","C003606",3,16.8,"Android","Referral",35,530804.0,"Silver",1,7,5,181433.8,36286.76,365,0.5,0.125,0
"WEB00003737","C003623",11,24.5,"Desktop","Direct",59,884708.0,"Gold",1,109,9,136844.84,15204.98,365,0.4,0.5,0
"WEB00000393","C003665",11,3.6,"Desktop","Social",35,704884.0,"Silver",1,35,10,200266.62,20026.66,365,0.333,0.143,0
"WEB00001583","C003716",4,9.3,"Android","Paid Search",40,1362511.0,"Bronze",1,78,4,57284.97,14321.24,365,0.0,0.111,0
"WEB00001051","C003724",7,24.1,"Android","Paid Search",26,293451.0,"Silver",0,18,4,140055.37,35013.84,365,0.0,0.429,1
"WEB00000520","C003735",7,9.3,"iOS","Organic",42,368231.0,"Silver",1,106,5,98005.51,19601.1,365,0.0,0.2,1
"WEB00002899","C003737",11,4.1,"Android","Paid Search",18,4542680.0,"Silver",0,85,7,188340.23,26905.75,365,0.0,0.111,0
"WEB00003273","C003755",5,5.1,"Android","Social",33,360587.0,"Bronze",1,62,6,540316.62,90052.77,365,0.0,0.444,1
"WEB00000497","C003781",8,12.6,"Android","Social",33,179401.0,"Gold",1,48,9,496245.46,55138.38,365,0.333,0.429,0
"WEB00001587","C003834",10,10.8,"iOS","Paid Search",49,373190.0,"Gold",0,60,7,55172.86,7881.84,365,0.0,0.333,1
"WEB00002658","C003877",5,3.2,"Desktop","Direct",37,616000.0,"Bronze",1,82,2,1621.26,810.63,365,0.0,0.4,1
"WEB00002257","C003919",10,7.5,"Android","Paid Search",45,984726.0,"Silver",0,85,3,62786.02,20928.67,365,0.0,0.4,0
"WEB00001740","C003927",4,6.8,"Android","Organic",55,1253924.0,"Bronze",1,83,8,166357.07,20794.63,365,0.25,0.143,1
"WEB00003110","C003975",13,6.8,"Android","Direct",44,969888.0,"Platinum",1,111,8,176463.58,22057.95,365,0.2,0.625,1
"WEB00003598","C003979",7,5.9,"Android","Organic",31,458256.0,"Bronze",0,3,8,116116.8,14514.6,365,0.0,0.5,0
"WEB00003808","C003986",15,5.3,"Android","Direct",37,1095466.0,"Silver",1,3,9,58823.42,6535.94,365,0.0,0.167,0
"WEB00003297","C003986",10,3.2,"Android","Paid Search",37,1095466.0,"Silver",1,3,9,58823.42,6535.94,365,0.0,0.167,0
"WEB00000281","C004011",6,10.5,"Android","Organic",39,1407118.0,"Bronze",0,117,6,56100.52,9350.09,365,0.0,0.125,0
"WEB00000962","C004023",14,15.6,"Android","Direct",47,0.0,"Gold",1,46,10,138707.03,13870.7,365,0.0,0.5,1
"WEB00001201","C004141",12,2.4,"Desktop","Organic",45,434360.0,"Silver",1,42,10,77915.21,7791.52,365,1.0,0.25,1
"WEB00002688","C004191",7,0.9,"Tablet","Organic",19,805744.0,"Bronze",1,85,6,78385.87,13064.31,365,0.0,0.375,1
"WEB00001133","C004268",4,4.6,"Android","Organic",37,2189736.0,"Silver",1,93,2,30306.1,15153.05,365,0.0,0.125,0
"WEB00002192","C004272",8,6.4,"Android","Referral",18,633674.0,"Bronze",0,55,3,62074.6,20691.53,365,0.0,0.0,0
"WEB00003535","C004319",9,1.5,"Desktop","Social",18,434157.0,"Silver",1,118,5,72537.92,14507.58,365,0.0,0.143,0
"WEB00003825","C004326",7,11.8,"Android","Organic",19,747960.0,"Platinum",1,43,9,148256.13,16472.9,365,0.0,0.571,1
"WEB00001586","C004328",8,2.5,"Android","Direct",25,1047014.0,"Gold",1,95,6,102317.35,17052.89,365,0.0,0.75,1
"WEB00002338","C004330",7,12.3,"iOS","Organic",22,956597.0,"Bronze",0,30,7,202650.77,28950.11,365,0.0,0.167,1
"WEB00002508","C004334",8,5.7,"Desktop","Paid Search",31,415770.0,"Silver",0,105,11,236059.71,21459.97,365,0.0,0.4,0
"WEB00000366","C004354",6,11.3,"Android","Direct",36,4969806.0,"Bronze",0,117,8,128761.86,16095.23,365,0.0,0.2,0
"WEB00001871","C004362",15,20.1,"Android","Organic",30,4566370.0,"Gold",0,14,11,211618.67,19238.06,365,0.0,0.25,0
"WEB00001505","C004396",15,13.1,"Android","Organic",42,856526.0,"Gold",1,11,4,222092.12,55523.03,365,0.0,0.5,0
"WEB00003008","C004404",7,17.8,"Android","Paid Search",45,672887.0,"Bronze",0,119,10,264894.52,26489.45,365,0.0,0.111,0
"WEB00000452","C004426",11,1.8,"Desktop","Organic",52,1016000.0,"Gold",0,59,7,163439.84,23348.55,365,0.0,0.25,0
"WEB00000863","C004453",8,12.5,"Android","Paid Search",39,1003975.0,"Bronze",1,63,4,119208.32,29802.08,365,0.0,0.5,1
"WEB00001696","C004455",7,7.5,"Android","Direct",21,1207060.0,"Silver",1,23,2,51645.47,25822.74,365,0.0,0.333,0
"WEB00002156","C004500",6,6.3,"Android","Organic",26,1119442.0,"Bronze",0,65,5,61072.84,12214.57,365,0.0,0.25,0
"WEB00002312","C004544",6,3.8,"Android","Direct",30,349035.0,"Silver",1,84,7,153288.72,21898.39,365,0.0,0.25,0
"WEB00001621","C004553",11,5.9,"Android","Social",49,138613.0,"Silver",0,48,6,56773.34,9462.22,365,0.0,0.286,0
"WEB00000718","C004575",10,2.5,"Desktop","Direct",34,781478.0,"Bronze",0,81,3,24992.04,8330.68,365,0.0,0.3,0
"WEB00000161","C004598",10,9.9,"Android","Organic",37,968329.0,"Bronze",1,13,12,143403.51,11950.29,365,0.0,0.167,0
"WEB00001303","C004617",9,9.4,"Android","Organic",22,1110648.0,"Silver",1,111,6,178062.08,29677.01,365,0.0,0.25,1
"WEB00002416","C004619",4,16.4,"Android","Referral",63,1083359.0,"Bronze",0,66,5,287031.46,57406.29,365,0.0,0.0,0
"WEB00002277","C004623",12,11.7,"Android","Referral",54,359420.0,"Platinum",1,88,4,29968.39,7492.1,365,0.0,0.462,0
"WEB00001257","C004731",4,14.9,"Android","Social",47,0.0,"Silver",0,30,4,34962.26,8740.56,365,0.0,0.167,0
"WEB00001403","C004760",10,6.6,"Desktop","Referral",23,1028153.0,"Gold",1,107,3,102335.5,34111.83,365,0.0,0.5,0
"WEB00000592","C004770",19,5.5,"Desktop","Organic",55,2022728.0,"Platinum",0,74,5,66156.42,13231.28,365,0.0,0.167,0
"WEB00001854","C004806",9,7.4,"Android","Organic",42,454847.0,"Silver",1,30,5,159101.95,31820.39,365,0.333,0.333,1
"WEB00000043","C004811",8,2.7,"Tablet","Direct",18,996649.0,"Bronze",1,113,5,17335.46,3467.09,365,0.0,0.5,1
"WEB00003817","C004837",4,20.2,"Android","Organic",34,1472498.0,"Bronze",0,90,6,143312.0,23885.33,365,0.0,0.375,0
"WEB00003081","C004872",12,1.8,"iOS","Organic",33,498250.0,"Gold",1,105,6,70318.01,11719.67,365,0.0,0.167,0
"WEB00003135","C004873",7,4.4,"Desktop","Direct",43,347695.0,"Bronze",0,66,10,236762.4,23676.24,365,0.0,0.0,0
"WEB00003872","C004888",7,8.5,"Android","Organic",50,1436142.0,"Silver",0,89,9,114234.29,12692.7,365,0.0,0.2,1
"WEB00001356","C004896",5,15.2,"Android","Direct",18,1046413.0,"Silver",0,101,8,111414.53,13926.82,365,0.0,0.0,0
"WEB00003480","C004900",12,8.6,"iOS","Organic",39,1768211.0,"Gold",0,5,6,96024.07,16004.01,365,0.0,0.0,0
"WEB00001795","C004901",11,7.3,"Android","Social",24,888011.0,"Silver",0,86,6,247206.22,41201.04,365,0.0,0.333,1
"WEB00001742","C005014",15,3.4,"Android","Social",36,884128.0,"Gold",1,100,13,315079.09,24236.85,365,0.0,0.273,0
"WEB00003438","C005061",8,6.9,"Desktop","Direct",40,1079962.0,"Silver",1,79,3,110155.55,36718.52,365,0.0,0.333,1
"WEB00003130","C005072",5,4.6,"Android","Organic",18,356029.0,"Silver",0,45,9,128358.87,14262.1,365,0.0,0.2,0
"WEB00000655","C005120",8,5.3,"iOS","Organic",37,340039.0,"Platinum",0,89,6,35126.77,5854.46,365,0.5,0.167,0
"WEB00003052","C005141",7,25.9,"Android","Referral",28,976496.0,"Bronze",0,14,7,85225.91,12175.13,365,0.0,0.25,1
"WEB00002408","C005147",9,15.3,"Desktop","Paid Search",21,1805112.0,"Bronze",0,72,5,174146.66,34829.33,365,0.0,0.25,0
"WEB00001793","C005187",9,10.3,"iOS","Social",21,1588483.0,"Bronze",0,36,13,327221.15,25170.86,365,0.0,0.167,0
"WEB00002963","C005190",14,6.0,"iOS","Direct",32,561029.0,"Bronze",0,101,3,20790.18,6930.06,365,1.0,0.125,0
